# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11)
4.000000000000000000e+09,1.239172825545727369e-06,1.430316583574016420e-04,-7.187694328120947107e-01,6.819446270392750566e-03
4.080000000000000000e+09,1.540368385091558425e-06,1.456427448450135472e-04,-7.187657188074568770e-01,6.970583964396644822e-03
4.160000000000000477e+09,4.784114338330135104e-07,1.465106700136784685e-04,-7.187176183863783763e-01,7.121578034578349668e-03
4.240000000000000000e+09,8.248237170566072983e-07,1.459492561896050201e-04,-7.187126142024896636e-01,7.275006898101899801e-03
4.320000000000000000e+09,3.140522112064376620e-06,1.444619462057200837e-04,-7.187370794181831002e-01,7.430108658155588561e-03
4.400000000000000000e+09,3.305686844691110794e-06,1.426442038206669803e-04,-7.187322418275009506e-01,7.586069650353530550e-03
4.480000000000000000e+09,2.999347264130610016e-05,1.413541263388869726e-04,-7.187271752361503729e-01,7.743331511003770547e-03
4.560000000000000000e+09,2.992861577851017843e-06,1.404712868167818903e-04,-7.187369487266924706e-01,7.903079611368952345e-03
4.640000000000000000e+09,3.175723286289148586e-06,1.409303624207237698e-04,-7.187162906557460484e-01,8.061975325320240235e-03
4.720000000000000000e+09,3.028660215071897535e-06,1.426668890513861187e-04,-7.187104359579832291e-01,8.223493077727055817e-03
4.800000000000000000e+09,2.900666187122151765e-06,1.455862812006821091e-04,-7.187042782826764675e-01,8.386583749037048938e-03
4.880000000000000000e+09,2.811609034911824037e-06,1.494958021249262990e-04,-7.187117451000186730e-01,8.552589344309861202e-03
4.960000000000000000e+09,2.834347086025245853e-06,1.539615741664374158e-04,-7.186909540667205665e-01,8.717877448560481038e-03
5.040000000000000000e+09,3.113406210276415813e-05,1.590941190272669975e-04,-7.186837293887691214e-01,8.886304853611795215e-03
5.120000000000000000e+09,3.103542161952961154e-06,1.635554717378701365e-04,-7.186760842908188618e-01,9.056754145078652410e-03
5.200000000000000000e+09,3.900663701302741561e-06,1.681083518465987148e-04,-7.186471409676269406e-01,9.229921433244326137e-03
5.280000000000000000e+09,3.495683623013895826e-06,1.722911780934282503e-04,-7.186699613966949229e-01,9.405579444834822472e-03
5.360000000000000000e+09,3.941225263828130888e-06,1.759939484723650131e-04,-7.186501942576702939e-01,9.581703836307979907e-03
5.440000000000000000e+09,4.134684412545644417e-06,1.792995538242942105e-04,-7.186490730025980600e-01,9.763037915403701208e-03
5.520000000000000000e+09,4.557253294314214236e-06,1.822056995122191530e-04,-7.186299106427104233e-01,9.944720000499458756e-03
5.600000000000000000e+09,4.842614404312767939e-06,1.848511675278559905e-04,-7.186186396919024277e-01,1.013074673005345296e-02
