# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11)
4.000000000000000000e+09,2.525903801372862922e-05,1.422394392937086462e-04,-7.188225264964135386e-01,6.799201486211109945e-03
4.080000000000000000e+09,3.911017259377132298e-05,1.431606693787111292e-04,-7.188454064206194483e-01,6.959453709649886591e-03
4.160000000000000477e+09,2.727039307402452320e-06,1.463937213997217306e-04,-7.187523252137488772e-01,7.109559569230784574e-03
4.240000000000000000e+09,2.543791509830517616e-06,1.459497954397929531e-04,-7.187635033946282448e-01,7.270716387468127880e-03
4.320000000000000000e+09,1.508969842027553930e-06,1.445494400695081520e-04,-7.187126276672902714e-01,7.431132914629923029e-03
4.400000000000000000e+09,3.642857804639761575e-06,1.428963040292191404e-04,-7.187283519956075839e-01,7.594584021844119105e-03
4.480000000000000000e+09,3.733577709099454009e-06,1.415223220412135659e-04,-7.187223517026180009e-01,7.760731581847720925e-03
4.560000000000000000e+09,3.032433007105161634e-05,1.413135083558002248e-04,-7.187311009453761779e-01,7.930516828893226927e-03
4.640000000000000000e+09,3.591291776701647845e-06,1.415704725844528413e-04,-7.187091274474874947e-01,8.100115902200543186e-03
4.720000000000000000e+09,3.448817596806910482e-06,1.434293966567272785e-04,-7.187018128720721322e-01,8.273698218161639265e-03
4.800000000000000000e+09,3.304354970058475761e-06,1.465091627143048556e-04,-7.187077251339558659e-01,8.451581812196623869e-03
4.880000000000000000e+09,3.275354424809885329e-06,1.504434786932849310e-04,-7.186854910803299745e-01,8.629705059523906305e-03
4.960000000000000000e+09,3.328029436137828985e-06,1.550893494241831563e-04,-7.186883806541816133e-01,8.814114411477023958e-03
5.040000000000000000e+09,3.974798505774086913e-06,1.599205877858015041e-04,-7.186460282137370204e-01,8.999963264092468093e-03
5.120000000000000000e+09,3.720110249970983071e-06,1.647789947243990692e-04,-7.186555436717351197e-01,9.189973740964928889e-03
5.200000000000000000e+09,4.054004773765793926e-06,1.693600182590421644e-04,-7.186436405944979233e-01,9.385126389075707995e-03
5.280000000000000000e+09,4.443231614410924259e-06,1.735141598883372901e-04,-7.186304973574783039e-01,9.585212689112903098e-03
5.360000000000000000e+09,4.858899533944600210e-06,1.771707940921143703e-04,-7.186158741444454989e-01,9.790780245222775041e-03
5.440000000000000000e+09,5.274748260879807003e-06,1.803301569853656551e-04,-7.185994543919915767e-01,1.000247036901791634e-02
5.520000000000000000e+09,5.669999177773539083e-06,1.830413711640820247e-04,-7.185808075494680702e-01,1.022103969655887255e-02
5.600000000000000000e+09,6.030287904802739743e-06,1.853781851610426801e-04,-7.185593267044330101e-01,1.044738343840416472e-02
5.680000000000000000e+09,6.347009921927495419e-06,1.874168511421840590e-04,-7.185341211720013277e-01,1.068254820789136215e-02
5.760000000000000000e+09,6.615770366602682271e-06,1.892189442565896974e-04,-7.185038365069277289e-01,1.092769049191591978e-02
5.840000000000000954e+09,6.834815743716756120e-06,1.908201378414884058e-04,-7.184664159171463282e-01,1.118386045262113188e-02
