# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11)
4.000000000000000000e+09,5.136699155507285376e-05,1.395344676901536093e-04,-7.188442569933178872e-01,6.808106530719449691e-03
4.080000000000000000e+09,2.664406707036325831e-05,1.440346191054905033e-04,-7.188074130372970050e-01,6.960289804896361079e-03
4.160000000000000477e+09,2.079353059028589083e-06,1.463725191419891903e-04,-7.187533052079920770e-01,7.114790689112755750e-03
4.240000000000000000e+09,1.134902043455773425e-06,1.459051226597514353e-04,-7.187032878703024652e-01,7.273196324425862912e-03
4.320000000000000000e+09,3.525588987095449322e-06,1.445622191710452882e-04,-7.187263790981437417e-01,7.435836151067990937e-03
4.400000000000000000e+09,3.756936948941389205e-06,1.428788695937775028e-04,-7.187202095728628670e-01,7.599949355879192375e-03
4.480000000000000000e+09,2.988157065009968430e-05,1.418206749560284264e-04,-7.187284335541234137e-01,7.767523250579503463e-03
4.560000000000000000e+09,3.815223047068961798e-06,1.409654538132897657e-04,-7.187066320772506067e-01,7.934825307128577296e-03
4.640000000000000000e+09,3.699698667225408865e-06,1.415690165112523798e-04,-7.186991362022088214e-01,8.105885404706815109e-03
4.720000000000000000e+09,3.490329569687818142e-06,1.434712851838739075e-04,-7.187045686477020467e-01,8.280992593802414398e-03
4.800000000000000000e+09,3.426473750630930279e-06,1.464725617287340059e-04,-7.186824544751830857e-01,8.456170169918586846e-03
4.880000000000000000e+09,3.403082985267396528e-06,1.505015220449198131e-04,-7.186849390093229539e-01,8.637274900612416581e-03
4.960000000000000000e+09,3.901610807664036532e-06,1.550481499347637930e-04,-7.186430583721816756e-01,8.819518717608826677e-03
5.040000000000000000e+09,3.542968175005910667e-06,1.599451272869954657e-04,-7.186520502764559559e-01,9.005616860477091631e-03
5.120000000000000000e+09,3.783976046365912128e-06,1.648015494927787625e-04,-7.186400558491909951e-01,9.196375418384713715e-03
5.200000000000000000e+09,4.104737618909293829e-06,1.693878652610908138e-04,-7.186268823095449676e-01,9.391566253131906558e-03
5.280000000000000000e+09,4.477510302823836322e-06,1.735488419517429567e-04,-7.186123226969867162e-01,9.591648890803480820e-03
5.360000000000000000e+09,4.872473201452716266e-06,1.772142442294315744e-04,-7.185961117079765481e-01,9.797153595811781274e-03
5.440000000000000000e+09,5.262397980598691871e-06,1.803846260787138691e-04,-7.185779014432432943e-01,1.000869575244181173e-02
5.520000000000000000e+09,5.625515050798124346e-06,1.831093766006789574e-04,-7.185572233761305938e-01,1.022699194884430472e-02
5.600000000000000000e+09,5.946427106926762684e-06,1.854624629169730993e-04,-7.185334270739541784e-01,1.045287344975336097e-02
5.680000000000000000e+09,6.215396070625849948e-06,1.875203049877201310e-04,-7.185055809681778483e-01,1.068728250414038676e-02
5.760000000000000000e+09,6.426682112838631371e-06,1.893445093521935695e-04,-7.184723221112349067e-01,1.093120973617480243e-02
5.840000000000000954e+09,6.576722331889016847e-06,1.909705252563898112e-04,-7.184316897833469273e-01,1.118548433489979614e-02
5.920000000000000000e+09,6.662793059480494150e-06,1.924014331721190271e-04,-7.183811306826697329e-01,1.145036264635965022e-02
6.000000000000000000e+09,6.682027973869857387e-06,1.936048043832803327e-04,-7.183179019309613444e-01,1.172517431064804341e-02
6.080000000000000000e+09,6.629317505460800821e-06,1.945101286086957479e-04,-7.182396140034451593e-01,1.200842603248768008e-02
6.160000000000000000e+09,6.491860896088716616e-06,1.950057631999434226e-04,-7.181444478623280059e-01,1.229818941888500931e-02
6.239999999999999046e+09,6.238686369642738850e-06,1.949357415374635436e-04,-7.180310897391835034e-01,1.259238620432655102e-02
6.320000000000000000e+09,5.804513536773324190e-06,1.940976074915292575e-04,-7.178986104872562279e-01,1.288891168644223928e-02
6.400000000000000954e+09,5.068045135517454489e-06,1.922429189741357413e-04,-7.177463749044158403e-01,1.318567538081798218e-02
6.480000000000000000e+09,3.825369430873463874e-06,1.890824983917073563e-04,-7.175739842283034298e-01,1.348061136837488613e-02
