# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11)
4.000000000000000000e+09,3.793338035178074884e-05,1.405016057042984194e-04,-7.188498803541847337e-01,6.802988356586206140e-03
4.080000000000000000e+09,2.195499731905599309e-06,1.453679557300786612e-04,-7.187430380068029478e-01,6.950672326077881463e-03
4.160000000000000477e+09,2.086847476671429390e-06,1.463732811386092895e-04,-7.187535577305939061e-01,7.109875393280047293e-03
4.240000000000000000e+09,1.139836282982444485e-06,1.459021897345727254e-04,-7.187034859074621362e-01,7.268114626308984708e-03
4.320000000000000000e+09,3.532106486103028482e-06,1.445537523291634411e-04,-7.187266366396746209e-01,7.430575835614116990e-03
4.400000000000000000e+09,3.763322568112445903e-06,1.428644622007448062e-04,-7.187204846435540917e-01,7.594505378314331777e-03
4.480000000000000000e+09,2.990370640166349056e-05,1.417970933848639265e-04,-7.187287516934314224e-01,7.761884618922057846e-03
4.560000000000000000e+09,3.823463184773627559e-06,1.409383046362708920e-04,-7.187069463181028350e-01,7.928991015375501036e-03
4.640000000000000000e+09,3.709706187075738221e-06,1.415358568547406498e-04,-7.186994723789258410e-01,8.099843205885292122e-03
4.720000000000000000e+09,3.502129725879653075e-06,1.434324886002435486e-04,-7.187049494414786688e-01,8.274728071565304321e-03
4.800000000000000000e+09,3.440571496841166057e-06,1.464292306820817301e-04,-7.186828401304514724e-01,8.449683098909845091e-03
4.880000000000000000e+09,3.419009854015049407e-06,1.504537712325579508e-04,-7.186853690417096541e-01,8.630542880448248758e-03
4.960000000000000000e+09,3.418998214726499612e-06,1.550081519131129659e-04,-7.186634743323940810e-01,8.811913803287965002e-03
5.040000000000000000e+09,3.561290033284709640e-06,1.598897271414450108e-04,-7.186525278155703189e-01,8.998377107206797371e-03
5.120000000000000000e+09,3.802761451193970825e-06,1.647418771507881880e-04,-7.186405700105981120e-01,9.188857984133790013e-03
5.200000000000000000e+09,4.123554708246954389e-06,1.693233051183653929e-04,-7.186274368075734609e-01,9.383755726193055910e-03
5.280000000000000000e+09,4.496032853496843566e-06,1.734785905914037389e-04,-7.186129218117461859e-01,9.583528416382687889e-03
5.360000000000000000e+09,4.890498347099502711e-06,1.771374038647019976e-04,-7.185967604132549313e-01,9.788704674954410573e-03
5.440000000000000000e+09,5.279842470562468783e-06,1.803003087095386096e-04,-7.185786055782545922e-01,9.999897999181215844e-03
5.520000000000000000e+09,5.642392064681934770e-06,1.830167679573484673e-04,-7.185579898788240216e-01,1.021782279980856106e-02
5.600000000000000000e+09,5.962821831607527604e-06,1.853608764283114631e-04,-7.185342643100984805e-01,1.044330781616609888e-02
5.680000000000000000e+09,6.231439133253938503e-06,1.874091905068907878e-04,-7.185064992064761347e-01,1.067729237135373391e-02
5.760000000000000000e+09,6.442533305245644369e-06,1.892234638933951065e-04,-7.184733342249229882e-01,1.092076373553282388e-02
5.840000000000000954e+09,6.592569245677286194e-06,1.908392789412975980e-04,-7.184328122748185885e-01,1.117454740189447598e-02
5.920000000000000000e+09,6.678864569977334807e-06,1.922598629536033409e-04,-7.183823850575704606e-01,1.143889597803687819e-02
6.000000000000000000e+09,6.698613283574473545e-06,1.934529341640146881e-04,-7.183193162271085397e-01,1.171313586141518003e-02
6.080000000000000000e+09,6.646816768088787992e-06,1.943481935010657599e-04,-7.182412241492326377e-01,1.199577155154953403e-02
6.160000000000000000e+09,6.510852997014227888e-06,1.948342990247442410e-04,-7.181462986860688291e-01,1.228487382149335595e-02
6.239999999999999046e+09,6.260043409340012170e-06,1.947557231933684865e-04,-7.180332356255961779e-01,1.257836509383697919e-02
6.320000000000000000e+09,5.829596429364156953e-06,1.939106411848269854e-04,-7.179011157410404298e-01,1.287414293084576493e-02
6.400000000000000954e+09,5.099016212260995155e-06,1.920514644194460372e-04,-7.177493138688070262e-01,1.317012070248800397e-02
6.480000000000000000e+09,3.865681982379312544e-06,1.888900910935804216e-04,-7.175774411887029247e-01,1.346423793284647411e-02
6.560000000000000000e+09,1.814988801259574008e-06,1.841103098633935405e-04,-7.173853095102452615e-01,1.375446129936862792e-02
