# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11), Amp(S21), Amp(S11)
4.000000000000000000e+09,3.794014481031452287e-05,1.405017396675983994e-04,-7.188499073536578354e-01,6.802147808855980166e-03,1.455341658781512005e-04,7.188820894396911187e-01
4.080000000000000000e+09,2.207387536103244347e-06,1.453616995579193165e-04,-7.187430739440369143e-01,6.949798846851997468e-03,1.453784587141483881e-04,7.187766732765713540e-01
4.160000000000000477e+09,2.096959142893865203e-06,1.463664934237717723e-04,-7.187535998178048446e-01,7.108964550773641707e-03,1.463815139791155144e-04,7.187887552181358997e-01
4.240000000000000000e+09,1.148345623645658157e-06,1.458950729088433489e-04,-7.187035224606392880e-01,7.267174531770320862e-03,1.458995921747146803e-04,7.187402625587395733e-01
4.320000000000000000e+09,3.539619152775474732e-06,1.445450730711684932e-04,-7.187266815508895901e-01,7.429595845366096345e-03,1.445884056655170934e-04,7.187650810018384462e-01
4.400000000000000000e+09,3.770185996014864099e-06,1.428546666210692834e-04,-7.187205330821252458e-01,7.593486532710808611e-03,1.429044088818164928e-04,7.187606456335632332e-01
4.480000000000000000e+09,3.455255127468635950e-06,1.414852247324042674e-04,-7.187288065108459190e-01,7.760820388014704439e-03,1.415274093791546689e-04,7.187707058872112587e-01
4.560000000000000000e+09,3.830750852859662038e-06,1.409261272645940578e-04,-7.187070028105947417e-01,7.927888582582049565e-03,1.409781827017686083e-04,7.187507268214523570e-01
4.640000000000000000e+09,3.717845164764645589e-06,1.415225413039047670e-04,-7.186995334809482827e-01,8.098695710024389482e-03,1.415713674080482977e-04,7.187451622779358340e-01
4.720000000000000000e+09,3.511221763918789139e-06,1.434179584107823631e-04,-7.187050169276514300e-01,8.273527306149238911e-03,1.434609336125773149e-04,7.187526365941632189e-01
4.800000000000000000e+09,3.450556647205400847e-06,1.464139482340179939e-04,-7.186829118790379889e-01,8.448437976255655790e-03,1.464546024495279450e-04,7.187325677407221391e-01
4.880000000000000000e+09,3.392852662654270025e-06,1.503911558504831712e-04,-7.186736201189753981e-01,8.627820157208655402e-03,1.504294226779947293e-04,7.187254076040295869e-01
4.960000000000000000e+09,3.429424668620680603e-06,1.549913102239404970e-04,-7.186635590990827493e-01,8.810559514780285165e-03,1.550292462682171049e-04,7.187175642322402025e-01
5.040000000000000000e+09,3.571006022322094676e-06,1.598721886540339671e-04,-7.186526202107417216e-01,8.996963221677584457e-03,1.599120658019353080e-04,7.187089354411678732e-01
5.120000000000000000e+09,3.811077912445243875e-06,1.647236499591916395e-04,-7.186406709438925011e-01,9.187380717777490421e-03,1.647677309752520244e-04,7.186993960614836974e-01
5.200000000000000000e+09,4.129811824269010410e-06,1.693043631463316944e-04,-7.186275473478104248e-01,9.382210903060593521e-03,1.693547245461100989e-04,7.186887905683231326e-01
5.280000000000000000e+09,4.499642429804187209e-06,1.734588859380787359e-04,-7.186130432276309765e-01,9.581911408144516695e-03,1.735172380280285067e-04,7.186769224923745814e-01
5.360000000000000000e+09,4.890953493432339185e-06,1.771168838003035610e-04,-7.185968942300597906e-01,9.787010324424361141e-03,1.771844009872346171e-04,7.186635387774853445e-01
5.440000000000000000e+09,5.276711978641408772e-06,1.802789201705597816e-04,-7.185787536563953415e-01,9.998120531402166292e-03,1.803561275564781084e-04,7.186483059331170153e-01
5.520000000000000000e+09,5.635297018078035503e-06,1.829944698361218207e-04,-7.185581545284863703e-01,1.021595571140493028e-02,1.830812184880941306e-04,7.186307725045466555e-01
5.600000000000000000e+09,5.951406230240101907e-06,1.853376338590475973e-04,-7.185344484618930716e-01,1.044134374970839656e-02,1.854331625157369906e-04,7.186103083631186772e-01
5.680000000000000000e+09,6.215343345225074890e-06,1.873849719233129565e-04,-7.185067066730889129e-01,1.067522298329677023e-02,1.874880214723058445e-04,7.185860059310585912e-01
5.760000000000000000e+09,6.421376220586564993e-06,1.891982174900322367e-04,-7.184735701007756159e-01,1.091857960804618229e-02,1.893071566897877405e-04,7.185565296579047301e-01
5.840000000000000954e+09,6.565940861523016577e-06,1.908129052012451799e-04,-7.184330835002300519e-01,1.117223810969310456e-02,1.909258399765112989e-04,7.185199470940443200e-01
5.920000000000000000e+09,6.646330566351484288e-06,1.922321580975181756e-04,-7.183827010349448372e-01,1.143645048914973365e-02,1.923470205561459714e-04,7.184737278050281617e-01
6.000000000000000000e+09,6.659716204471513458e-06,1.934235064986368903e-04,-7.183196891895033964e-01,1.171054328157191717e-02,1.935381220487383195e-04,7.184151395267601714e-01
6.080000000000000000e+09,6.601059872760284401e-06,1.943163443670080956e-04,-7.182416691154407395e-01,1.199302189770851991e-02,1.944284333105665888e-04,7.183417903950550798e-01
6.160000000000000000e+09,6.457634536030672478e-06,1.947988541674760762e-04,-7.181468331774543135e-01,1.228195859542301899e-02,1.949058609399998115e-04,7.182518503350660000e-01
6.239999999999999046e+09,6.198512292385788082e-06,1.947148309821020509e-04,-7.180338793437640588e-01,1.257527765963595626e-02,1.948134670884623971e-04,7.181439893876937486e-01
6.320000000000000000e+09,5.758390879714983318e-06,1.938615576780572771e-04,-7.179018902675312619e-01,1.287087879776871273e-02,1.939470613618219058e-04,7.180172585465626200e-01
6.400000000000000954e+09,5.015854707996291839e-06,1.919903525410174120e-04,-7.177502423828268086e-01,1.316667775571371893e-02,1.920558623611262779e-04,7.178709994446978992e-01
6.480000000000000000e+09,3.766782005847708805e-06,1.888118933959378413e-04,-7.175785481896872486e-01,1.346061664085987548e-02,1.888494631563419944e-04,7.177047868186273716e-01
6.560000000000000000e+09,1.694299222202626330e-06,1.840087610921148321e-04,-7.173866205351456804e-01,1.375066489222631638e-02,1.840165612343338901e-04,7.175183928707440373e-01
6.640000000000000000e+09,-1.662538067292488827e-06,1.772577172035910589e-04,-7.171744502097595619e-01,1.403481805357231077e-02,1.772655136823106273e-04,7.173117649610020186e-01
6.720000000000000000e+09,-6.938362316803655143e-06,1.682638893300717549e-04,-7.169421916787438454e-01,1.431109655538279589e-02,1.684068802754860080e-04,7.170850114831143207e-01
6.799999999999999046e+09,-1.496570456364777041e-05,1.568083045369419765e-04,-7.166901540834619277e-01,1.457754513087324184e-02,1.575208452390880270e-04,7.168383930721198283e-01
6.880000000000000000e+09,-2.678950559709253050e-05,1.428091892566958805e-04,-7.164187959218063506e-01,1.483223302636175155e-02,1.453001794434247542e-04,7.165723175553176949e-01
6.960000000000000954e+09,-4.366724246789572389e-05,1.263957836774713445e-04,-7.161287225371448795e-01,1.507325507363533809e-02,1.337262958291753653e-04,7.162873377780720752e-01
7.039999999999999046e+09,-6.704988790626661955e-05,1.079922087289535740e-04,-7.158206859124190968e-01,1.529873378751939877e-02,1.271141401040843972e-04,7.159841518047920239e-01
7.120000000000000000e+09,-9.853920877760373887e-05,8.840681613131218296e-05,-7.154955864247526387e-01,1.550682268513601039e-02,1.323848209010074467e-04,7.156636051547465849e-01
7.200000000000000000e+09,-1.398175731713293074e-04,6.892119321717695823e-05,-7.151544762828465629e-01,1.569571112812215286e-02,1.558816366413935954e-04,7.153266948012005910e-01
7.280000000000000000e+09,-1.925476936053754440e-04,5.137150697758771168e-05,-7.147985643662767563e-01,1.586363101423549776e-02,1.992828292701051746e-04,7.149745746591595896e-01
7.359999999999999046e+09,-2.582412343708080627e-04,3.821344894197207989e-05,-7.144292220844760122e-01,1.600886567670639637e-02,2.610532566535022931e-04,7.146085621852598102e-01
7.440000000000000000e+09,-3.380973906968586396e-04,3.256207928652111918e-05,-7.140479898495674105e-01,1.612976131538013808e-02,3.396617944418918282e-04,7.142301456871580356e-01
7.520000000000000000e+09,-4.328148796536677306e-04,3.819736187910834470e-05,-7.136565836354729075e-01,1.622474128740971147e-02,4.344971329066999116e-04,7.138409918154728917e-01
7.599999999999999046e+09,-5.423835290605153554e-04,5.952603500637763771e-05,-7.132569009958974471e-01,1.629232347188259641e-02,5.456402124474692443e-04,7.134429526054510973e-01
7.680000000000000000e+09,-6.658642826952737180e-04,1.014921784955875698e-04,-7.128510258263659471e-01,1.633114085773662918e-02,6.735546787492992064e-04,7.130380713422092009e-01
7.760000000000000954e+09,-8.011693084896838978e-04,1.694296577712326845e-04,-7.124412310978848195e-01,1.633996536106718106e-02,8.188886797351123100e-04,7.126285864573989048e-01
7.840000000000000000e+09,-9.448562854728404566e-04,2.688516791502543364e-04,-7.120299786850469159e-01,1.631773474025277962e-02,9.823617590172396396e-04,7.122169325516499727e-01
7.919999999999999046e+09,-1.091952990647245426e-03,4.051754983517366366e-04,-7.116199153941611399e-01,1.626358227061610803e-02,1.164701042434512909e-03,7.118057376095433542e-01
8.000000000000000000e+09,-1.235829989793712190e-03,5.833830714005541242e-04,-7.112138642971189695e-01,1.617686871322142339e-02,1.366605858201358189e-03,7.113978154660060005e-01
