# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11), Amp(S21), Amp(S11)
4.000000000000000000e+09,3.793929896400720689e-05,1.405018712879739680e-04,-7.188499071986226285e-01,6.802183316234116858e-03,1.455340724411390853e-04,7.188820896206387090e-01
4.080000000000000000e+09,2.206305440783970699e-06,1.453623567020531030e-04,-7.187430725925976205e-01,6.949835912085634143e-03,1.453790993563825829e-04,7.187766722835772226e-01
4.160000000000000477e+09,2.096028121547692108e-06,1.463671735390658247e-04,-7.187535982812914837e-01,7.109003584220749059e-03,1.463821806904834044e-04,7.187887540677473375e-01
4.240000000000000000e+09,1.147547633051293687e-06,1.458957465814784949e-04,-7.187035209012095915e-01,7.267214724064318190e-03,1.459002595478743993e-04,7.187402614057745165e-01
4.320000000000000000e+09,3.538937486553885792e-06,1.445458441022272626e-04,-7.187266797880553781e-01,7.429638129787895402e-03,1.445891597795599789e-04,7.187650796761773098e-01
4.400000000000000000e+09,3.769567882194106538e-06,1.428554861589726170e-04,-7.187205311527238294e-01,7.593530751579081334e-03,1.429052118284525124e-04,7.187606441714297079e-01
4.480000000000000000e+09,3.454649130490881059e-06,1.414860975758008127e-04,-7.187288044002911880e-01,7.760867076814017239e-03,1.415282671689434399e-04,7.187707042808965108e-01
4.560000000000000000e+09,3.830109976274695063e-06,1.409270494682145734e-04,-7.187070004920038668e-01,7.927937012513616363e-03,1.409790871521267763e-04,7.187507250371908407e-01
4.640000000000000000e+09,3.717137975188595867e-06,1.415235132409922475e-04,-7.186995309345839411e-01,8.098746436319746375e-03,1.415723204401195809e-04,7.187451603033100378e-01
4.720000000000000000e+09,3.510438355728834365e-06,1.434189916505366710e-04,-7.187050142174035150e-01,8.273580995408650468e-03,1.434619473710923828e-04,7.187526345021114649e-01
4.800000000000000000e+09,3.449708304118486178e-06,1.464150080518517201e-04,-7.186829087942535610e-01,8.448493734901887237e-03,1.464556419883075462e-04,7.187325653115754776e-01
4.880000000000000000e+09,3.428598458578666441e-06,1.504385864268941852e-04,-7.186854439113764537e-01,8.629297146995508830e-03,1.504776514088131372e-04,7.187372482759908365e-01
4.960000000000000000e+09,3.428566934952307493e-06,1.549924382478731137e-04,-7.186635553352170858e-01,8.810620986745501190e-03,1.550303550445789535e-04,7.187175612222277410e-01
5.040000000000000000e+09,3.570229445543212089e-06,1.598733436239043880e-04,-7.186526160394888230e-01,8.997027848808411901e-03,1.599132031440207008e-04,7.187089320792620084e-01
5.120000000000000000e+09,3.810446178184999603e-06,1.647248276074540210e-04,-7.186406663090434410e-01,9.187448727285222466e-03,1.647688936977556161e-04,7.186993922964053372e-01
5.200000000000000000e+09,4.129386247454284514e-06,1.693055595551135268e-04,-7.186275421823010712e-01,9.382282547621731417e-03,1.693559102217892921e-04,7.186887863385502673e-01
5.280000000000000000e+09,4.499478519370841588e-06,1.734600971965233004e-04,-7.186130374504661189e-01,9.581986970171520179e-03,1.735184446287298587e-04,7.186769177231737693e-01
5.360000000000000000e+09,4.891099733793399080e-06,1.771181059064932451e-04,-7.185968877421333723e-01,9.787090121567790582e-03,1.771856266645510669e-04,7.186635333768702782e-01
5.440000000000000000e+09,5.277210602934668859e-06,1.802801488646190386e-04,-7.185787463344199821e-01,9.998204922697092462e-03,1.803573703134887980e-04,7.186482997859404698e-01
5.520000000000000000e+09,5.636186062939213824e-06,1.829957008078646533e-04,-7.185581462161289013e-01,1.021604510538002240e-02,1.830824762436252038e-04,7.186307654638470765e-01
5.600000000000000000e+09,5.952722247912590446e-06,1.853388631513803195e-04,-7.185344389563054213e-01,1.044143861283386779e-02,1.854344334162532997e-04,7.186103002368934289e-01
5.680000000000000000e+09,6.217123799523094287e-06,1.873861970549453571e-04,-7.185066957039560886e-01,1.067532384923255279e-02,1.874893049617854998e-04,7.185859964615949336e-01
5.760000000000000000e+09,6.423660858986603759e-06,1.891994393115504374e-04,-7.184735572980623930e-01,1.091868708181229983e-02,1.893084553173373925e-04,7.185565184897584334e-01
5.840000000000000954e+09,6.568772739471755853e-06,1.908141310284878437e-04,-7.184330683491195746e-01,1.117235285690810521e-02,1.909271624873206871e-04,7.185199337289746024e-01
5.920000000000000000e+09,6.649755674192701888e-06,1.922334070600920011e-04,-7.183826828291860478e-01,1.143657319742577734e-02,1.923483871532524184e-04,7.184737115548202047e-01
6.000000000000000000e+09,6.663783495124830208e-06,1.934248180882160227e-04,-7.183196670109864845e-01,1.171067458991676032e-02,1.935395728602534607e-04,7.184151194915968652e-01
6.080000000000000000e+09,6.605823488242677482e-06,1.943177912824646037e-04,-7.182416418529720126e-01,1.199316233203721882e-02,1.944300411789631191e-04,7.183417654810108077e-01
6.160000000000000000e+09,6.463161027591143856e-06,1.948005596834760157e-04,-7.181467995654022829e-01,1.228210852617306337e-02,1.949077487004148665e-04,7.182518192917292099e-01
6.239999999999999046e+09,6.204896459796898392e-06,1.947169914209047337e-04,-7.180338380008565169e-01,1.257543728012627468e-02,1.948158296650595112e-04,7.181439508462259536e-01
6.320000000000000000e+09,5.765784045370951687e-06,1.938644656445829770e-04,-7.179018397304511856e-01,1.287104811331900300e-02,1.939501876908541220e-04,7.180172110527029972e-01
6.400000000000000954e+09,5.024509050136673351e-06,1.919944187044730487e-04,-7.177501811352162697e-01,1.316685657608504707e-02,1.920601533500986523e-04,7.178709414872083139e-01
6.480000000000000000e+09,3.777114237149119822e-06,1.888176624656306155e-04,-7.175784746884210641e-01,1.346080457871317616e-02,1.888554374407718449e-04,7.177047168551056178e-01
6.560000000000000000e+09,1.706975332170022181e-06,1.840169123876915296e-04,-7.173865332355673363e-01,1.375086136033407992e-02,1.840248293287728633e-04,7.175183093523794797e-01
6.640000000000000000e+09,-1.646498265204179184e-06,1.772690391172296103e-04,-7.171743475891899644e-01,1.403502226561109331e-02,1.772766853990766613e-04,7.173116663556897699e-01
6.720000000000000000e+09,-6.917463616494426253e-06,1.682792217504719271e-04,-7.169420722598242035e-01,1.431130752791912909e-02,1.684213400250396788e-04,7.170848962984576191e-01
6.799999999999999046e+09,-1.493784448682646546e-05,1.568284346240672556e-04,-7.166900164565779274e-01,1.457776168811448711e-02,1.575382401340955324e-04,7.168382598776138481e-01
6.880000000000000000e+09,-2.675184546909633297e-05,1.428346885475011824e-04,-7.164186387673817658e-01,1.483245380603698087e-02,1.453183040379431171e-04,7.165721650044861724e-01
6.960000000000000954e+09,-4.361609604544634637e-05,1.264267801947109864e-04,-7.161285446468076410e-01,1.507347853486284452e-02,1.337389045291136102e-04,7.162871646295889683e-01
7.039999999999999046e+09,-6.698065000245047697e-05,1.080280901583705863e-04,-7.158204862091648302e-01,1.529895822367877307e-02,1.271081261682974249e-04,7.159839569427900452e-01
7.120000000000000000e+09,-9.844634942980052335e-05,8.844585815226898326e-05,-7.154953639825956113e-01,1.550704623315992542e-02,1.323418057166580910e-04,7.156633876086329060e-01
7.200000000000000000e+09,-1.396947256980825129e-04,6.896012456831444827e-05,-7.151542303444294868e-01,1.569593178531572888e-02,1.557886875493209910e-04,7.153264537636941922e-01
7.280000000000000000e+09,-1.923878674552942001e-04,5.140505504061906221e-05,-7.147982943592012806e-01,1.586384665470358390e-02,1.991370664334616517e-04,7.149743095031507734e-01
7.359999999999999046e+09,-2.563833849076442789e-04,1.798450256122342676e-04,-7.144289276357225216e-01,1.600907406889600509e-02,3.131719548333893846e-04,7.146082724788958007e-01
7.440000000000000000e+09,-3.378421861342082344e-04,3.255824838626844445e-05,-7.140476707973425485e-01,1.612996014319915614e-02,3.394073986670339670e-04,7.142298312065460397e-01
7.520000000000000000e+09,-4.325026345219398468e-04,3.815511512067352225e-05,-7.136562400390725758e-01,1.622492817080444655e-02,4.341823829662950942e-04,7.138406525554944482e-01
7.599999999999999046e+09,-5.420103951390910398e-04,5.942731391364705542e-05,-7.132565331420549493e-01,1.629249598952121902e-02,5.452585387482022624e-04,7.134425887872071215e-01
7.680000000000000000e+09,-6.654296257177346125e-04,1.013150759554507386e-04,-7.128506342339554491e-01,1.633129656816682124e-02,6.730983073806553378e-04,7.130376834188708601e-01
7.760000000000000954e+09,-8.006770761806579918e-04,1.691485943179358350e-04,-7.124408165183108155e-01,1.634010182617351079e-02,8.183489642450467562e-04,7.126281751158644040e-01
7.840000000000000000e+09,-9.443165112214906530e-04,2.684379351257815561e-04,-7.120295421010722769e-01,1.631784954654005512e-02,9.817293916248616414e-04,7.122164987126359259e-01
7.919999999999999046e+09,-1.091383365592983427e-03,4.045981794107941006e-04,-7.116194580149891591e-01,1.626367304895218191e-02,1.163966209765385403e-03,7.118052824239154974e-01
8.000000000000000000e+09,-1.235257396967698535e-03,5.826105780877919443e-04,-7.112133875537723915e-01,1.617693315503024656e-02,1.365758368988894463e-03,7.113973403113162952e-01
8.080000000000000000e+09,-1.367601598878233869e-03,8.066247819875194775e-04,-7.108143160207465172e-01,1.605725161550589086e-02,1.587758694566247710e-03,7.109956590510840835e-01
8.159999999999999046e+09,-1.478385939227325283e-03,1.079511016928904254e-03,-7.104253701363069107e-01,1.590454507251852848e-02,1.830565218990008562e-03,7.106033781845344510e-01
8.240000000000000000e+09,-1.556013105183341391e-03,1.402376145265390095e-03,-7.100497904527576232e-01,1.571905830686417052e-02,2.094716123084872528e-03,7.102237631310709398e-01
8.320000000000000954e+09,-1.587561737092066123e-03,1.774062765863781543e-03,-7.096908963835421025e-01,1.550139530607519064e-02,2.380682878147156404e-03,7.098601705026917896e-01
8.400000000000000000e+09,-1.559159188945726969e-03,2.190654527625061909e-03,-7.093520437469040818e-01,1.525254651710548567e-02,2.688855636860796282e-03,7.095160055581313241e-01
8.480000000000000000e+09,-1.456492372366703213e-03,2.645018205905882470e-03,-7.090365750573947023e-01,1.497391047362558493e-02,3.019518395429304433e-03,7.091946719794168796e-01
8.560000000000000000e+09,-1.265459383382506325e-03,3.126414869073163363e-03,-7.087477633093880458e-01,1.466730798929226885e-02,3.372811495555688363e-03,7.088995146843544148e-01
8.640000000000000000e+09,-9.729588587432916498e-04,3.620218884823802469e-03,-7.084887504123770219e-01,1.433498713313888055e-02,3.748684264490935187e-03,7.086337568285882016e-01
8.720000000000000000e+09,-5.678063212970817317e-04,4.107785717711896073e-03,-7.082624819958348583e-01,1.397961741167218566e-02,4.146843078914701913e-03,7.084004327397583900e-01
8.800000000000000000e+09,-4.175778837919891945e-05,4.566511763492023604e-03,-7.080716406988594169e-01,1.360427193400243900e-02,4.566702683446925530e-03,7.082023189575341604e-01
8.880000000000000000e+09,6.093894814553049884e-04,4.970130134381545509e-03,-7.079185805403733767e-01,1.321239684658827990e-02,5.007349507753167117e-03,7.080418660677691989e-01
8.959999999999998093e+09,1.384661678076312035e-03,5.289284705568804770e-03,-7.078052652016020296e-01,1.280776788552963862e-02,5.467524180037723960e-03,7.079211342835582954e-01
9.040000000000000000e+09,2.276795460494204261e-03,5.492420078724490062e-03,-7.077332131620156508e-01,1.239443472362944214e-02,5.945626618793257816e-03,7.078417358596125197e-01
9.120000000000000000e+09,3.271220192822256456e-03,5.547016751386357747e-03,-7.077034525330055947e-01,1.197665444620516460e-02,6.439741950582254966e-03,7.078047873381897448e-01
9.200000000000000000e+09,4.345225565149806596e-03,5.421186833615350940e-03,-7.077164881204254243e-01,1.155881633596683722e-02,6.947679605234822336e-03,7.078108743107842660e-01
9.280000000000000000e+09,5.467421891797643631e-03,5.085625099259248258e-03,-7.077722826885186613e-01,1.114536075016985331e-02,7.467013110549878055e-03,7.078600308029602273e-01
9.360000000000000000e+09,6.597615247645934392e-03,4.515881275583699325e-03,-7.078702536868769490e-01,1.074069537051779849e-02,7.995105418388026228e-03,7.079517346484616169e-01
9.440000000000000000e+09,7.687229016613925797e-03,3.694881589859342480e-03,-7.080092857888042879e-01,1.034911244426608458e-02,8.529105458191533692e-03,7.080849192657310276e-01
9.520000000000000000e+09,8.680403042873640132e-03,2.615580815106197110e-03,-7.081877587178905253e-01,9.974710553109495184e-03,9.065906462515567824e-03,7.082580013303679811e-01
9.600000000000000000e+09,9.515886026555432642e-03,1.283569854978438771e-03,-7.084035888730715325e-01,9.621324291199696843e-03,9.602064280299435137e-03,7.084689228253869819e-01
9.680000000000000000e+09,1.017726462767044350e-02,-2.866966183183813259e-04,-7.086542824689167075e-01,9.292464650045057992e-03,1.018130199201394866e-02,7.087152051147256326e-01
9.760000000000000000e+09,1.045929503066214683e-02,-2.039611639062405193e-03,-7.089369973109569401e-01,8.991272293155124981e-03,1.065630649787405008e-02,7.089940120577362670e-01
9.840000000000000000e+09,1.049400102005410181e-02,-4.273575676210538028e-03,-7.092486099052024429e-01,8.720484889953156876e-03,1.133082108539336559e-02,7.093022187397822753e-01
