# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11), Amp(S21), Amp(S11)
4.000000000000000000e+09,1.944622414356931399e-06,1.443600230380751980e-04,-7.188073895780271449e-01,6.863534357535385974e-03,1.443731201016588918e-04,7.188401570696052456e-01
4.080000000000000000e+09,1.982016450607346336e-06,1.471961016842776343e-04,-7.187383973216473487e-01,7.020032237707547057e-03,1.472094451462224610e-04,7.187726793897418753e-01
4.160000000000000477e+09,-2.186390478093366407e-05,1.529205910805103491e-04,-7.187326461581616810e-01,7.183508269638256075e-03,1.544756858171614981e-04,7.187685437222286478e-01
4.240000000000000000e+09,2.214777219877667934e-05,1.490637692241710195e-04,-7.187265075361273237e-01,7.349306547785469657e-03,1.507001363923928807e-04,7.187640815607108102e-01
4.320000000000000000e+09,1.234664123235296217e-09,1.468736337929229846e-04,-7.187282443167521961e-01,7.518651461088637217e-03,1.468736337981124641e-04,7.187675697319922952e-01
4.400000000000000000e+09,-3.175656975729446385e-07,1.453325942449181082e-04,-7.187213503005300819e-01,7.689573132611016680e-03,1.453329412003014499e-04,7.187624843526400076e-01
4.480000000000000000e+09,1.997772783483771656e-07,1.440402719668312814e-04,-7.187053210386756819e-01,7.862111548801573382e-03,1.440404105077448859e-04,7.187483226326942809e-01
4.560000000000000000e+09,1.382871273819348741e-06,1.437323530399649231e-04,-7.187101921702887530e-01,8.040288884670150973e-03,1.437390052955879840e-04,7.187551645552207047e-01
4.640000000000000000e+09,3.045860071213495109e-07,1.443203361995653124e-04,-7.186882976757351660e-01,8.218750579784420487e-03,1.443206576114150572e-04,7.187352899900900649e-01
4.720000000000000000e+09,1.547848149645490658e-06,1.464073285100182971e-04,-7.186901068572405515e-01,8.403800964172952748e-03,1.464155103646289763e-04,7.187392389212635679e-01
4.800000000000000000e+09,5.540798037594844912e-07,1.494095469230767115e-04,-7.186681740723572798e-01,8.589629961729789223e-03,1.494105743118203712e-04,7.187195045129743942e-01
4.880000000000000000e+09,2.904470169106347774e-05,1.540187352755130706e-04,-7.186566455690530653e-01,8.781274713274439883e-03,1.567334218097449748e-04,7.187102928205172381e-01
4.960000000000000000e+09,3.682391743517432844e-05,1.568430714694062284e-04,-7.186439166496921827e-01,8.977629644403534864e-03,1.611078829953078539e-04,7.186999907970235135e-01
5.040000000000000000e+09,1.898370374953303188e-07,1.631166917470008686e-04,-7.186297633651158590e-01,9.179213520503522530e-03,1.631168022142014140e-04,7.186883850147137709e-01
5.120000000000000000e+09,-2.692278561533580027e-07,1.680279047990375146e-04,-7.186138940684984044e-01,9.386633712139181088e-03,1.680281204881877571e-04,7.186751962053072873e-01
5.200000000000000000e+09,-9.096233502392465116e-07,1.726429907265870640e-04,-7.185959188374826390e-01,9.600605408343693831e-03,1.726453870268757692e-04,7.186600491150824110e-01
5.280000000000000000e+09,-1.722550021665385990e-06,1.767931283798732870e-04,-7.185752997148043830e-01,9.821973862111513590e-03,1.768015198490089225e-04,7.186424232751424945e-01
5.360000000000000000e+09,-2.696098078779389238e-06,1.803913497739291548e-04,-7.185512669871658709e-01,1.005173351785008766e-02,1.804114963579384794e-04,7.186215698374042171e-01
5.440000000000000000e+09,-3.820216501181264103e-06,1.834181600938663843e-04,-7.185226774935905558e-01,1.029102022471639621e-02,1.834579393385173042e-04,7.185963701340438714e-01
5.520000000000000000e+09,-5.089764911613329189e-06,1.858986225605277487e-04,-7.184877971222125570e-01,1.054100240430776679e-02,1.859682864812090680e-04,7.185651169832956153e-01
5.600000000000000000e+09,-6.505059884529201138e-06,1.878756353200651649e-04,-7.184440980482073025e-01,1.080252281202287792e-02,1.879882181175709509e-04,7.185253068051300485e-01
