# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11), Amp(S21), Amp(S11)
4.000000000000000000e+09,1.882614810523749614e-06,1.419185922945123105e-04,-7.187501803728838512e-01,6.720244394802049777e-03,1.419310786169851349e-04,7.187815965025670106e-01
4.080000000000000000e+09,2.361468883171736837e-06,1.446154204186807549e-04,-7.187454348359130218e-01,6.874473550377845597e-03,1.446346997029342759e-04,7.187783096922586434e-01
4.160000000000000477e+09,2.849909688911896203e-06,1.456067946325872444e-04,-7.187404160168273659e-01,7.030442810086521763e-03,1.456346820932822553e-04,7.187747997406057632e-01
4.240000000000000000e+09,1.249892152707153505e-06,1.451353156718331408e-04,-7.187056697143894279e-01,7.187678441934105059e-03,1.451406975508801045e-04,7.187416103169439463e-01
4.320000000000000000e+09,3.002175331031177388e-06,1.437720693690928996e-04,-7.187461164447352946e-01,7.349097630016367816e-03,1.438034109031823752e-04,7.187836873081946409e-01
4.400000000000000000e+09,3.013472960910053245e-05,1.423411816688677049e-04,-7.187234673583208222e-01,7.509569955732403601e-03,1.454960959184238697e-04,7.187626980947796618e-01
4.480000000000000000e+09,3.981061469324481146e-06,1.406873072915009099e-04,-7.187170851003193972e-01,7.673345705646438669e-03,1.407436225317358549e-04,7.187580459719515868e-01
4.560000000000000000e+09,3.971958877595346479e-06,1.401112767969158737e-04,-7.187102742010162970e-01,7.839361257334290581e-03,1.401675652317157226e-04,7.187530270037288949e-01
4.640000000000000000e+09,3.887651345061135519e-06,1.406746446054246225e-04,-7.187029885803027929e-01,8.007771236511205051e-03,1.407283534609968928e-04,7.187475983921164380e-01
4.720000000000000000e+09,3.708999290342264995e-06,1.425263352154185442e-04,-7.187089132825683624e-01,8.180075430332629099e-03,1.425745871664148214e-04,7.187554630511383547e-01
4.800000000000000000e+09,3.685101065178529593e-06,1.454781920027343686e-04,-7.186867694446025245e-01,8.352513503897620456e-03,1.455248580767046457e-04,7.187353038890966772e-01
4.880000000000000000e+09,3.656671569956419378e-06,1.494043442724498033e-04,-7.186776987415635087e-01,8.529283011879327733e-03,1.494490860943994981e-04,7.187283098203147702e-01
4.960000000000000000e+09,3.768419832632212836e-06,1.539900356722607262e-04,-7.186780183205137007e-01,8.710624131968370404e-03,1.540361388583182632e-04,7.187308042583600010e-01
5.040000000000000000e+09,3.916121743996838632e-06,1.588062230194746025e-04,-7.186654014425487569e-01,8.894190132894755699e-03,1.588545009725091572e-04,7.187204365041387488e-01
5.120000000000000000e+09,-5.842933385579525581e-05,1.612227115147282482e-04,-7.186360572770634780e-01,9.081376467183802439e-03,1.714839635738376342e-04,7.186934354905862854e-01
5.200000000000000000e+09,4.453075066931902000e-06,1.680917008886690842e-04,-7.186326783091135928e-01,9.272339426053452169e-03,1.681506758392529370e-04,7.186924951689435126e-01
5.280000000000000000e+09,4.825825262808835123e-06,1.721852508862105617e-04,-7.186184898495445728e-01,9.468951969069574343e-03,1.722528641625863956e-04,7.186808714617584082e-01
5.360000000000000000e+09,5.218336765747294750e-06,1.757801565186315254e-04,-7.186026832607393944e-01,9.670845315549306265e-03,1.758575971185644940e-04,7.186677546952081608e-01
5.440000000000000000e+09,5.605151398579737530e-06,1.788769094879672644e-04,-7.185849158267798575e-01,9.878622749182866883e-03,1.789647073312708556e-04,7.186528149539254118e-01
5.520000000000000000e+09,5.965839198808775658e-06,1.815250536069903009e-04,-7.185647255572045200e-01,1.009298708255648713e-02,1.816230611028421657e-04,7.186356052989228971e-01
5.600000000000000000e+09,6.285825462377558433e-06,1.837988656369975930e-04,-7.185414704567976152e-01,1.031475382468137643e-02,1.839063202045828846e-04,7.186155014419607356e-01
5.680000000000000000e+09,6.555707857539835901e-06,1.857751300836922744e-04,-7.185142301449480851e-01,1.054484722488058072e-02,1.858907643298240661e-04,7.185916035717252459e-01
5.760000000000000000e+09,6.769724316405060756e-06,1.875158447027811611e-04,-7.184816569162466582e-01,1.078423764013270239e-02,1.876380056969207538e-04,7.185625867706959546e-01
5.840000000000000954e+09,6.924107881714610798e-06,1.890568480426178463e-04,-7.184418110946193536e-01,1.103373243699291677e-02,1.891836014610333977e-04,7.185265333864908621e-01
5.920000000000000000e+09,7.015902773571293049e-06,1.904016731665595318e-04,-7.183921677821130114e-01,1.129356663330741833e-02,1.905308899794297319e-04,7.184809332042044749e-01
6.000000000000000000e+09,7.042126031569482244e-06,1.915184774981449245e-04,-7.183300198778633794e-01,1.156305199941490801e-02,1.916479030990215398e-04,7.184230798278077312e-01
6.080000000000000000e+09,6.997770813253549199e-06,1.923376295683053370e-04,-7.182530193629077520e-01,1.184068302214556605e-02,1.924648865229953325e-04,7.183506118869562584e-01
