# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11), Amp(S21), Amp(S11)
2.000000000000000000e+09,3.264741077114340561e-05,5.515037145306857941e-05,-7.197960353269079459e-01,-3.183628044732846312e-03,6.408913247557039236e-05,7.198030758199512880e-01
2.106666666666666746e+09,3.678749192339067210e-05,5.881471606462021972e-05,-7.198156235229681288e-01,-3.377953456134939227e-03,6.937211534741771952e-05,7.198235495156511954e-01
2.213333333333333492e+09,5.108212580060075435e-05,6.412994842799137106e-05,-7.198593162954071145e-01,-3.563333366381649103e-03,8.198801047522274175e-05,7.198681355650985436e-01
2.320000000000000000e+09,2.191274209729718320e-05,6.614104174148478289e-05,-7.199485845692031871e-01,-3.722672957039144769e-03,6.967643553506085836e-05,7.199582090074008178e-01
2.426666666666666508e+09,1.838972161053083695e-05,7.066694646330092520e-05,-7.199953844115001278e-01,-3.901580914644875442e-03,7.302053946226270487e-05,7.200059554666873307e-01
2.533333333333333492e+09,-4.682482249358698909e-06,7.518292414442221468e-05,-7.200542200555661854e-01,-4.062525953183091475e-03,7.532859830716023895e-05,7.200656802937840384e-01
2.640000000000000477e+09,-2.057594810047062019e-06,7.752318871973718070e-05,-7.187438121228374444e-01,-4.200192286417142769e-03,7.755048991256159683e-05,7.187560845517145802e-01
2.746666666666666985e+09,8.594448921795896871e-06,8.179920923672949896e-05,-7.187591728472284558e-01,-4.377922637312708053e-03,8.224946920207820982e-05,7.187725055667129048e-01
2.853333333333333015e+09,1.311247999561515661e-05,8.512488816100241930e-05,-7.187762297051499827e-01,-4.562291310561076424e-03,8.612887852548979553e-05,7.187907086844911309e-01
2.960000000000000000e+09,1.153536871386033394e-05,8.859727011951854187e-05,-7.188010023395573489e-01,-4.748246050869231807e-03,8.934506703783729636e-05,7.188166851186135187e-01
3.066666666666666985e+09,2.168030636183505449e-06,9.204634625297589590e-05,-7.188560267845953700e-01,-4.930969451724237333e-03,9.207187526797834119e-05,7.188729384976657588e-01
3.173333333333333015e+09,-1.374235868762164900e-06,9.562007032504394764e-05,-7.188492928821091921e-01,-5.121873071212411713e-03,9.562994496071480885e-05,7.188675395793483469e-01
3.280000000000000000e+09,1.061787173491071942e-05,9.871350525526978036e-05,-7.188678787902447187e-01,-5.314513644832697531e-03,9.928290547703159995e-05,7.188875233384337538e-01
3.386666666666666508e+09,-4.880651179657973665e-07,1.027543218338489715e-04,-7.188518501202492139e-01,-5.511001538810482089e-03,1.027554809394301278e-04,7.188729745645373592e-01
3.493333333333333492e+09,4.711768251693587489e-06,1.076218001679636724e-04,-7.188765400984490350e-01,-5.710338313595566748e-03,1.077248932765810415e-04,7.188992195485905956e-01
3.600000000000000000e+09,-1.477062910644811601e-06,1.147749094013683060e-04,-7.188612594906615971e-01,-5.915636768918663274e-03,1.147844133274823384e-04,7.188855994905462010e-01
3.706666666666666985e+09,-1.506993684904751989e-06,1.232866429550386143e-04,-7.188875201420369399e-01,-6.122126844825055703e-03,1.232958529760410000e-04,7.189135880292371050e-01
3.813333333333333969e+09,-1.368225948866884417e-06,1.323853743309244123e-04,-7.188941374665933637e-01,-6.335184298844677084e-03,1.323924445691147865e-04,7.189220510207886550e-01
3.920000000000000000e+09,-1.241615184699243615e-06,1.405236244731847338e-04,-7.188888664608840129e-01,-6.554787677469890370e-03,1.405291095942314721e-04,7.189187489298852762e-01
4.026666666666666985e+09,-2.055142610061883602e-07,1.463150007266751738e-04,-7.189103881912879412e-01,-6.778182840607523477e-03,1.463151450594176546e-04,7.189423412290926185e-01
4.133333333333333015e+09,7.273959031098771962e-07,1.490609483134155457e-04,-7.189204567268473456e-01,-7.009345155404691011e-03,1.490627230963348609e-04,7.189546258421642966e-01
4.240000000000000000e+09,1.207383512670070384e-06,1.490166765661375843e-04,-7.189219498459206159e-01,-7.249296929760722964e-03,1.490215678006493209e-04,7.189584982989186690e-01
4.346666666666666985e+09,2.393170363484795471e-06,1.473049570408280272e-04,-7.189461098706643183e-01,-7.494991133251331303e-03,1.473243959199862228e-04,7.189851763355409320e-01
4.453333333333333015e+09,2.765644826693736942e-06,1.453171243353353266e-04,-7.189627049510942669e-01,-7.751652048655084670e-03,1.453434395368388178e-04,7.190044917940900948e-01
4.560000000000000000e+09,2.745493842313347679e-06,1.443807822252407677e-04,-7.189828335790150460e-01,-8.019457882015978284e-03,1.444068835354138576e-04,7.190275562772480145e-01
4.666666666666666985e+09,2.409806737784587534e-06,1.452987577518257268e-04,-7.190077131000599531e-01,-8.300322683450276143e-03,1.453187399227546519e-04,7.190556215300925036e-01
4.773333333333333015e+09,1.904450246920141502e-06,1.482171423712926462e-04,-7.190392247474608478e-01,-8.596646722605665730e-03,1.482293770595256312e-04,7.190906125519250791e-01
4.880000000000000000e+09,1.376931513403965859e-06,1.526983817246847330e-04,-7.190804274371420668e-01,-8.911322034659160257e-03,1.527045897205782583e-04,7.191356428265729406e-01
4.986666666666666985e+09,9.148028455682440793e-07,1.579354149808410567e-04,-7.191364246356460876e-01,-9.247311065576328468e-03,1.579380643461757042e-04,7.191958773517016512e-01
5.093333333333333969e+09,5.106320137108243420e-07,1.629980512642019224e-04,-7.192150806777108940e-01,-9.606055085831276610e-03,1.629988511032541716e-04,7.192792285118195794e-01
5.200000000000000000e+09,5.458422409288375319e-08,1.670142027667273694e-04,-7.193257433430966241e-01,-9.985165715132415798e-03,1.670142116864401568e-04,7.193950434708715758e-01
5.306666666666666985e+09,-6.767869923971655513e-07,1.692312493213788023e-04,-7.194762883801846254e-01,-1.037839570674867380e-02,1.692326026139991558e-04,7.195511383069117528e-01
5.413333333333333015e+09,-2.087111778378947344e-06,1.689733051340765852e-04,-7.196718779855741932e-01,-1.077765177145657664e-02,1.689861943577320683e-04,7.197525753625269029e-01
5.520000000000000000e+09,-4.913130006421296636e-06,1.655718747633991045e-04,-7.199153734676418948e-01,-1.117435233580184317e-02,1.656447540947998708e-04,7.200020910422266773e-01
5.626666666666666985e+09,-1.045372845240236505e-05,1.583676500040242889e-04,-7.202078876105860727e-01,-1.155989546470600517e-02,1.587122963300377184e-04,7.203006542824027525e-01
5.733333333333333969e+09,-2.082484343526248469e-05,1.468700367685147278e-04,-7.205491123151390731e-01,-1.192579634071902830e-02,1.483390771323863516e-04,7.206477973854462649e-01
5.840000000000000954e+09,-3.915451433466495793e-05,1.311280460108918964e-04,-7.209374839700030124e-01,-1.226374325232326701e-02,1.368489694642165209e-04,7.210417846363393890e-01
5.946666666666666985e+09,-6.960689412551106822e-05,1.123156530928200159e-04,-7.213702567600687177e-01,-1.256564476943680501e-02,1.321360118948154108e-04,7.214796897810492604e-01
6.053333333333333969e+09,-1.171160322833823017e-04,9.347201415989500627e-05,-7.218435222890776659e-01,-1.282369020390772968e-02,1.498438602309412572e-04,7.219574209751902227e-01
6.160000000000000000e+09,-1.867275117301698791e-04,8.026948617121315100e-05,-7.223521960845719070e-01,-1.303043347808855584e-02,2.032494872001681398e-04,7.224697138183930889e-01
