# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11), Amp(S21), Amp(S11)
2.000000000000000000e+09,4.634825573345203098e-05,5.605562402867876506e-05,-7.197393984563044134e-01,-3.194455489428389000e-03,7.273509328225308420e-05,7.197464874774428534e-01
2.160000000000000000e+09,4.959751601814271847e-05,6.468685432676061814e-05,-7.197800708110949630e-01,-3.456961073788594740e-03,8.151259238830201492e-05,7.197883723127864730e-01
2.320000000000000000e+09,3.392039518476350787e-05,6.815605518384733547e-05,-7.199115694648433594e-01,-3.701950215658132270e-03,7.613042143397192598e-05,7.199210875399699727e-01
2.480000000000000000e+09,2.782356030738481384e-05,7.441113393984616917e-05,-7.200411639791201024e-01,-3.947529229868043839e-03,7.944285595566416536e-05,7.200519847979219845e-01
2.640000000000000477e+09,9.385768380806305971e-06,8.661190335552539457e-05,-7.189038942454459846e-01,-4.187401743100427863e-03,8.711896722852615553e-05,7.189160893279726849e-01
2.800000000000000477e+09,1.547584685444639742e-05,8.220023640448571476e-05,-7.187700738758113772e-01,-4.417588159563862193e-03,8.364437040719248134e-05,7.187836490798791278e-01
2.960000000000000000e+09,4.443004218970511202e-06,8.682362256031913878e-05,-7.188114066186556128e-01,-4.682329920466060842e-03,8.693722862494841146e-05,7.188266567807390928e-01
3.120000000000000000e+09,1.675826033790495617e-06,9.243200173579926068e-05,-7.188317931255213677e-01,-4.954762683437392325e-03,9.244719215737343229e-05,7.188488690130224734e-01
3.280000000000000000e+09,1.550565844682151934e-05,9.766661013628670507e-05,-7.188397227058372918e-01,-5.233731887148809422e-03,9.888979815624516546e-05,7.188587753441364470e-01
3.440000000000000000e+09,-7.756235420070514339e-07,1.032422284031500159e-04,-7.188704716120859484e-01,-5.516686574782982307e-03,1.032451418592037780e-04,7.188916391129801520e-01
3.600000000000000000e+09,1.538211381272727286e-06,1.126699939105714953e-04,-7.188737501367019611e-01,-5.807448436632798271e-03,1.126804935295443926e-04,7.188972075985199384e-01
3.760000000000000477e+09,-2.495187306991422590e-06,1.256036319066123328e-04,-7.189093262184890198e-01,-6.105851270724591863e-03,1.256284136166207143e-04,7.189352549038487972e-01
3.920000000000000000e+09,-5.454144440358858068e-07,1.381871353638672610e-04,-7.188929599157447559e-01,-6.413239759810267053e-03,1.381882117149922976e-04,7.189215655832263963e-01
4.080000000000000000e+09,2.856278125455628583e-07,1.456225616543933865e-04,-7.189034555090594303e-01,-6.730462844348843870e-03,1.456228417729680982e-04,7.189349605304817814e-01
4.240000000000000000e+09,1.285117600145547456e-06,1.464961637398086327e-04,-7.189161546780351575e-01,-7.058904777348526220e-03,1.465018003907358926e-04,7.189508088831308985e-01
4.400000000000000000e+09,1.616375313452034396e-06,1.437114805795226358e-04,-7.189210447664701187e-01,-7.401292577920446161e-03,1.437205702727081650e-04,7.189591419127632221e-01
4.560000000000000000e+09,1.977767520255753827e-06,1.420276805194062894e-04,-7.189511591813626534e-01,-7.756739318274970957e-03,1.420414502815523915e-04,7.189930015605692226e-01
4.720000000000000000e+09,1.498193047004601281e-06,1.446296354081667975e-04,-7.189758991873856919e-01,-8.131461791196120323e-03,1.446373949596208399e-04,7.190218802534256159e-01
4.880000000000000000e+09,8.783795868223683950e-07,1.516532490396882242e-04,-7.190082788609193365e-01,-8.528601773777086045e-03,1.516557928171299505e-04,7.190588585913931796e-01
5.040000000000000000e+09,4.003798805715417055e-07,1.609212053635319657e-04,-7.190522806583292681e-01,-8.953857497100850896e-03,1.609217034451872858e-04,7.191080265746051525e-01
5.200000000000000000e+09,3.290138241419939637e-08,1.697375957338812435e-04,-7.191153390590379058e-01,-9.414685294989722647e-03,1.697375989226295812e-04,7.191769651269420693e-01
5.360000000000000000e+09,-5.639685210513234951e-07,1.762227385367452900e-04,-7.192120047110077685e-01,-9.918698508054581142e-03,1.762236409732894835e-04,7.192803961603015939e-01
5.520000000000000000e+09,-1.916560596321274722e-06,1.795289138893681321e-04,-7.193660683804624645e-01,-1.046591375282413493e-02,1.795391437175067166e-04,7.194421976002282060e-01
5.680000000000000000e+09,-4.804579069776867184e-06,1.790953224030195025e-04,-7.196013150524570579e-01,-1.104134689018509800e-02,1.791597568838472064e-04,7.196860176260025943e-01
5.840000000000000954e+09,-1.098187610323607578e-05,1.736631172858201151e-04,-7.199318544394870401e-01,-1.162112326785960138e-02,1.740099994488113980e-04,7.200256422813604562e-01
6.000000000000000000e+09,-2.474351917271237929e-05,1.611670634673510955e-04,-7.203627844143050130e-01,-1.217965082028437014e-02,1.630554018968386203e-04,7.204657417693325350e-01
6.160000000000000954e+09,-5.477023959610491139e-05,1.405259506966889487e-04,-7.208926591577148324e-01,-1.269178935165792346e-02,1.508221534278800474e-04,7.210043741506898529e-01
6.320000000000000000e+09,-1.146522328820526984e-04,1.157830323249082116e-04,-7.214468605628951980e-01,-1.313230918592370178e-02,1.629443005422134480e-04,7.215663726647828513e-01
6.480000000000000000e+09,-2.219085708337894072e-04,1.015116351396714721e-04,-7.222171425389458665e-01,-1.348145793503195862e-02,2.440246419487686043e-04,7.223429591857140064e-01
6.640000000000000000e+09,-3.888214830989010756e-04,1.286282740615107790e-04,-7.229832977680783479e-01,-1.371491793916466105e-02,4.095453315657158382e-04,7.231133713503601346e-01
6.800000000000000954e+09,-6.130649957229000442e-04,2.451346174897204222e-04,-7.237912508365567099e-01,-1.381512050673783763e-02,6.602572753651041225e-04,7.239230845484643240e-01
6.960000000000000954e+09,-8.617677492038676099e-04,5.098489298525404802e-04,-7.246137369341705270e-01,-1.376724466568993686e-02,1.001293955259733182e-03,7.247445100029308307e-01
7.120000000000000000e+09,-1.059016496787141019e-03,9.749029548583104058e-04,-7.254183170696560934e-01,-1.356202502461277722e-02,1.439427563949910276e-03,7.255450801038764164e-01
7.280000000000000954e+09,-1.082638733247243872e-03,1.657428251330141013e-03,-7.261682848086031816e-01,-1.319789146816584963e-02,1.979690641245365496e-03,7.262882087718856017e-01
7.440000000000000000e+09,-7.787464641629469842e-04,2.505266989478427495e-03,-7.268246346832833993e-01,-1.268313513403108821e-02,2.623510766895496230e-03,7.269352870093158669e-01
7.600000000000001907e+09,1.908412724507466129e-08,3.367417113066084426e-03,-7.273492373468333216e-01,-1.203749713133607513e-02,3.367417113120161828e-03,7.274488397174107002e-01
7.760000000000000954e+09,1.332723404458643728e-03,3.984987459393659129e-03,-7.277089903182233366e-01,-1.129244843357173414e-02,4.201937258493582648e-03,7.277966020679080827e-01
7.919999999999999046e+09,3.155062668629593677e-03,4.020454512522432175e-03,-7.278802412953806478e-01,-1.048956224795587894e-02,5.110623732015699694e-03,7.279558204893860074e-01
8.080000000000000954e+09,5.194235439825759318e-03,3.139077744918584382e-03,-7.278524143759942389e-01,-9.676839620356170527e-03,6.069093086531548650e-03,7.279167386027073361e-01
8.240000000000000000e+09,6.950362425895790716e-03,1.142840014551562431e-03,-7.276297458586086231e-01,-8.903531722465518952e-03,7.043693714959803343e-03,7.276842171817362592e-01
8.400000000000000954e+09,7.767918344208306347e-03,-1.869211503451105420e-03,-7.272304784441788739e-01,-8.214629508135194713e-03,7.989649995270247870e-03,7.272768722543740960e-01
8.560000000000000000e+09,7.018930024913413827e-03,-5.388537863825017260e-03,-7.266831721035513780e-01,-7.648065129528975985e-03,8.848825854570023519e-03,7.267234174833677729e-01
8.720000000000000000e+09,4.440145951358293736e-03,-8.462790446228623045e-03,-7.260245277594250535e-01,-7.224384688235690154e-03,9.556867593837527902e-03,7.260604703758632983e-01
8.880000000000000000e+09,-2.500018927426733185e-05,-9.985144098400171309e-03,-7.252899715138089176e-01,-6.963310525664376076e-03,9.985175395318778360e-03,7.253233971629335919e-01
9.040000000000000000e+09,-4.283023714374083711e-03,-9.303855582871167762e-03,-7.245154761590109072e-01,-6.869742350693891324e-03,1.024236402618134735e-02,7.245480443379053170e-01
9.200000000000001907e+09,-7.971090140817187891e-03,-6.241152484442983803e-03,-7.237342122277993228e-01,-6.944613265432395335e-03,1.012374744682530137e-02,7.237675300829677916e-01
9.360000000000000000e+09,-9.516160324302642970e-03,-1.755074095638244199e-03,-7.229778390399457244e-01,-7.185113817435106499e-03,9.676651920938986184e-03,7.230135417842733503e-01
9.520000000000001907e+09,-8.518191595037243047e-03,2.653119247072695426e-03,-7.222778660263498018e-01,-7.585052534048879885e-03,8.921806419607563113e-03,7.223176924134712129e-01
9.680000000000000000e+09,-5.594031742656089580e-03,5.587443373007244113e-03,-7.216666585520151722e-01,-8.134099663080049739e-03,7.906498250452377238e-03,7.217124979124025508e-01
9.840000000000000000e+09,-2.028761749000912093e-03,6.386888457880286057e-03,-7.211780052509183525e-01,-8.816435041663687328e-03,6.701359444740571242e-03,7.212318939041295618e-01
1.000000000000000000e+10,8.798922163551104337e-04,5.322578998022305108e-03,-7.208474787564198571e-01,-9.608576707866444896e-03,5.394817652394789768e-03,7.209115149419088597e-01
1.016000000000000000e+10,2.386884274834813469e-03,3.313060201264333808e-03,-7.207119982709261352e-01,-1.047546887193966450e-02,4.083330067317040429e-03,7.207881241389583193e-01
1.032000000000000191e+10,2.502044231339414782e-03,1.384620576723941425e-03,-7.208063547002435678e-01,-1.136433561458642487e-02,2.859615267315899264e-03,7.208959350004786604e-01
1.048000000000000000e+10,1.771853168859477282e-03,1.725457850941815828e-04,-7.212617929928751836e-01,-1.213872077158748009e-02,1.780234731700047236e-03,7.213639321266815951e-01
1.064000000000000191e+10,9.792035492118629416e-04,-2.214731398395444837e-04,-7.218003304168641998e-01,-1.278603153890700041e-02,1.003937220377596915e-03,7.219135679514607773e-01
1.080000000000000000e+10,4.134266046691464544e-04,-1.071509766469324644e-04,-7.225084597711826095e-01,-1.329384421211858569e-02,4.270865125997895160e-04,7.226307499234050358e-01
1.096000000000000000e+10,1.944369982862955131e-04,8.318519933375587887e-05,-7.233411153553781503e-01,-1.341439625312618351e-02,2.114840979619545306e-04,7.234654899788920401e-01
1.112000000000000191e+10,1.333987665582807042e-04,2.173636068186451226e-04,-7.240354076605911571e-01,-1.316461034750994637e-02,2.550336614811488231e-04,7.241550790485696831e-01
1.128000000000000000e+10,1.172905352906779503e-04,3.086694824077281527e-04,-7.245341228134560829e-01,-1.273945347974906293e-02,3.302028452915398149e-04,7.246461127999148655e-01
1.144000000000000191e+10,1.500892641398552849e-04,3.960812368147273378e-04,-7.248013734614829895e-01,-1.223537934149696721e-02,4.235647924069319806e-04,7.249046388865796331e-01
1.160000000000000000e+10,2.574165938297990849e-04,4.462953276881668932e-04,-7.248851172020817080e-01,-1.173373738704076331e-02,5.152114345540324174e-04,7.249800781636305258e-01
1.176000000000000000e+10,4.075436968176369143e-04,3.932123929133288687e-04,-7.248362679676662035e-01,-1.125171726985073686e-02,5.663107369248901327e-04,7.249235935619802174e-01
1.192000000000000000e+10,5.006498656075886828e-04,2.145546097202523611e-04,-7.246648617037357853e-01,-1.078045181774586227e-02,5.446870371920984385e-04,7.247450447774645976e-01
1.208000000000000000e+10,4.391406366360179649e-04,-4.851341299210842201e-06,-7.243501152920959196e-01,-1.033493411167857833e-02,4.391674330565605196e-04,7.244238402943165012e-01
1.224000000000000191e+10,5.793298976124349646e-04,-7.882943317425182604e-05,-7.238840105013537585e-01,-9.965190410087004791e-03,5.846684614396505889e-04,7.239525990556517909e-01
1.240000000000000000e+10,6.003817672831725282e-05,-7.331269394676278380e-05,-7.232954776132586305e-01,-9.725693565468370577e-03,9.475934655004941817e-05,7.233608622610995242e-01
1.256000000000000191e+10,-1.181117383617414664e-05,3.901728630056500467e-05,-7.226362136997823704e-01,-9.647258567547152205e-03,4.076582462858542789e-05,7.227006067163820324e-01
1.272000000000000000e+10,-2.193588256070459817e-06,1.086285217959581846e-04,-7.219585111710150604e-01,-9.737240305503869903e-03,1.086506676326111267e-04,7.220241725185077009e-01
1.288000000000000000e+10,6.842334232777393490e-06,1.265613672535408616e-04,-7.213112025095615998e-01,-9.990813802383334552e-03,1.267461921275691802e-04,7.213803901037397770e-01
1.304000000000000191e+10,-5.903161405688564249e-06,1.399682264140646875e-04,-7.207453020890041140e-01,-1.038880414527498276e-02,1.400926540546665734e-04,7.208201701776516535e-01
1.320000000000000191e+10,-1.903742719720975704e-05,1.663937904797006080e-04,-7.203039929389023488e-01,-1.088653561011162889e-02,1.674793036303040322e-04,7.203862567410045381e-01
1.336000000000000191e+10,-1.925764797193609223e-05,1.999065616995947346e-04,-7.200007627763095330e-01,-1.142332403028594248e-02,2.008319954986378443e-04,7.200913766532470728e-01
1.352000000000000000e+10,-7.691303548701465369e-07,2.270155908598773631e-04,-7.198199244643025407e-01,-1.194805589086749519e-02,2.270168937655566235e-04,7.199190785743668775e-01
1.368000000000000191e+10,2.342905659988673303e-05,2.313025595821700320e-04,-7.197340820724115185e-01,-1.242597122838395851e-02,2.324861173541852987e-04,7.198413392252388521e-01
1.384000000000000000e+10,3.136683406071320639e-05,2.212546510144016408e-04,-7.197074907817543332e-01,-1.283285917792276187e-02,2.234669972825897529e-04,7.198218908605443778e-01
1.400000000000000191e+10,2.579508143258480948e-05,2.169489117439554098e-04,-7.196930190586253717e-01,-1.316360280574791798e-02,2.184770389148485187e-04,7.198133939574522522e-01
1.416000000000000191e+10,1.973734423241812791e-05,2.190330168626051859e-04,-7.196495933571597226e-01,-1.344478816969599949e-02,2.199204975287280095e-04,7.197751729172474633e-01
1.432000000000000000e+10,1.270431029920695201e-05,2.219310605321784993e-04,-7.195679596561327385e-01,-1.372065707008302687e-02,2.222943884337074500e-04,7.196987598948081377e-01
1.448000000000000191e+10,2.016706618930940638e-06,2.314139895198909409e-04,-7.194709993182281105e-01,-1.402278567701800878e-02,2.314227768632530968e-04,7.196076412727377969e-01
1.464000000000000000e+10,-1.817613583921410072e-07,2.529412153803590720e-04,-7.193924117893480963e-01,-1.435453573184124372e-02,2.529412806864166172e-04,7.195356105406957026e-01
1.480000000000000191e+10,1.767264764210570529e-05,2.698738112640545876e-04,-7.193552973554355745e-01,-1.469494170187919148e-02,2.704518376363314477e-04,7.195053753412470332e-01
1.496000000000000191e+10,3.882689212666222780e-05,2.640053044030722922e-04,-7.193603838764234260e-01,-1.501340397875068795e-02,2.668451391822123969e-04,7.195170353715500955e-01
1.512000000000000191e+10,4.084975270024864794e-05,2.470196094308876596e-04,-7.193861268725647573e-01,-1.528724861887978750e-02,2.503744989791487291e-04,7.195485386734137290e-01
1.528000000000000191e+10,2.789708712824388366e-05,2.414018939801038132e-04,-7.194004160226126210e-01,-1.551543509146444295e-02,2.430084811018374744e-04,7.195677086276076606e-01
1.544000000000000000e+10,1.882533611655695394e-05,2.492755853277167167e-04,-7.193799614161363598e-01,-1.571976032206047827e-02,2.499854210156606882e-04,7.195516935923818025e-01
1.560000000000000191e+10,1.869668883232956718e-05,2.575352914567286856e-04,-7.193236439059980114e-01,-1.593024792517266919e-02,2.582130758094856177e-04,7.195000190974011334e-01
1.576000000000000000e+10,2.009465636412796695e-05,2.613740624643430327e-04,-7.192495740484928790e-01,-1.616705403966860188e-02,2.621453713943976355e-04,7.194312499504452729e-01
1.592000000000000191e+10,1.979107050919577280e-05,2.641762327151263843e-04,-7.191815142594512045e-01,-1.643191051552517906e-02,2.649165310120464231e-04,7.193692084984646407e-01
1.608000000000000191e+10,1.892179157984981533e-05,2.676817095751528948e-04,-7.191351166947012041e-01,-1.671150252556562535e-02,2.683496447504035405e-04,7.193292642317310470e-01
1.624000000000000191e+10,1.827528800977260351e-05,2.716374049124318461e-04,-7.191116469693780155e-01,-1.698854478172489094e-02,2.722514754769945751e-04,7.193122906365579938e-01
1.640000000000000191e+10,1.789293709403465076e-05,2.755778514087467218e-04,-7.191016089857514837e-01,-1.725241085067239638e-02,2.761581238799836174e-04,7.193085358356712256e-01
1.656000000000000000e+10,1.741241463597023408e-05,2.792377834973582972e-04,-7.190936197587158851e-01,-1.750273434293486349e-02,2.797801492528955596e-04,7.193065964435276793e-01
