# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11), Amp(S21), Amp(S11)
2.000000000000000000e+09,4.570518706414697249e-05,5.695329031765109917e-05,-7.197211798264440130e-01,-3.228172345345513977e-03,7.302493685430558356e-05,7.197284194663010615e-01
2.106666666666666746e+09,5.075276236029257484e-05,6.035565242255204617e-05,-7.197803076239335240e-01,-3.397683856556635816e-03,7.885840263758989123e-05,7.197883268703331172e-01
2.213333333333333492e+09,4.564528517311342975e-05,6.929244162438808700e-05,-7.198081017475528309e-01,-3.598152779874963080e-03,8.297550557124723145e-05,7.198170948545489223e-01
2.320000000000000000e+09,3.556798252027335862e-05,6.963846674162524786e-05,-7.199517479554661259e-01,-3.726440769984751874e-03,7.819589139262315925e-05,7.199613918433009907e-01
2.426666666666666508e+09,3.167731068564792562e-05,7.369969757671378686e-05,-7.200748525389742971e-01,-3.877087278973035626e-03,8.021905905191194588e-05,7.200852901322136734e-01
2.533333333333333492e+09,2.256263219424747114e-05,7.591712858082903369e-05,-7.201088777416960740e-01,-4.041758194857680668e-03,7.919900746531499929e-05,7.201202202491683302e-01
2.640000000000000477e+09,1.470369021939363455e-05,7.861690155286222528e-05,-7.187672377002239932e-01,-4.207294950883402711e-03,7.998009574788169957e-05,7.187795512686862009e-01
2.746666666666666985e+09,3.410918017589106603e-06,8.147198988912571270e-05,-7.187879330844473280e-01,-4.382989043110777430e-03,8.154335962061237068e-05,7.188012961457178607e-01
2.853333333333333015e+09,6.045690571578991258e-06,8.502762119310446694e-05,-7.187839546491749942e-01,-4.565576345345870833e-03,8.524228258467359183e-05,7.187984543308870711e-01
2.960000000000000000e+09,2.735374772567605739e-06,8.862346034565816739e-05,-7.188071575469380248e-01,-4.743727404758660282e-03,8.866566414788107874e-05,7.188228103576006500e-01
3.066666666666666985e+09,1.457210549189996690e-05,9.245283272595687641e-05,-7.188377282855979988e-01,-4.925244375677818344e-03,9.359419072528392641e-05,7.188546011809059388e-01
3.173333333333333015e+09,1.097605182104414425e-05,9.583760714368199339e-05,-7.188422240195243562e-01,-5.109429523551673770e-03,9.646408998484862316e-05,7.188603823437429430e-01
3.280000000000000000e+09,1.682472843935788706e-07,9.871996183292514266e-05,-7.188407646100116732e-01,-5.295334687894781567e-03,9.872010520376738626e-05,7.188602683655308523e-01
3.386666666666666508e+09,1.626558814002921960e-05,1.026753717155704491e-04,-7.188490959109508083e-01,-5.482930133619589794e-03,1.039557661434497920e-04,7.188700057832720924e-01
