# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11), Amp(S21), Amp(S11)
2.000000000000000000e+09,1.086788519810592618e-04,2.503073098910656223e-05,-7.190679065379639301e-01,-2.436065954394894990e-03,1.115241245729820007e-04,7.190720329912881903e-01
2.106666666666666746e+09,1.353948089254686541e-04,2.725828594903401190e-05,-7.189877138677568391e-01,-2.569289099117639218e-03,1.381114348518741337e-04,7.189923045062848184e-01
2.213333333333333492e+09,2.313411035273243337e-04,3.769079625275723771e-05,-7.192884908965633262e-01,-2.695361040895639156e-03,2.343913443440415341e-04,7.192935409882368347e-01
2.320000000000000000e+09,3.330721852827033089e-04,5.172748013043709141e-05,-7.194306359367698134e-01,-2.803575049026320321e-03,3.370649979004646099e-04,7.194360985921129936e-01
2.426666666666666508e+09,3.099049906202002423e-04,5.449160936834695091e-05,-7.195465674291262603e-01,-2.861818495598049926e-03,3.146592422015582991e-04,7.195522584942249944e-01
2.533333333333333492e+09,1.610607892285851879e-04,6.071438273663236026e-05,-7.195519574352623460e-01,-3.057072536821541734e-03,1.721244145902173347e-04,7.195584515113507829e-01
2.640000000000000477e+09,1.307379643606735025e-04,5.804591680351214010e-05,-7.196206728950442777e-01,-3.119134743387807877e-03,1.430445517408230000e-04,7.196274326757309270e-01
2.746666666666666985e+09,1.541182420279515444e-04,6.346980191765796769e-05,-7.197545997670833362e-01,-3.206928015201310645e-03,1.666758779225506015e-04,7.197617441022889917e-01
2.853333333333333015e+09,1.149458121721740284e-04,6.086082230543656251e-05,-7.197657952173244222e-01,-3.353997237662022061e-03,1.300637513975920739e-04,7.197736097289880730e-01
2.960000000000000000e+09,6.227152605929673745e-05,5.121783877027458447e-05,-7.198194622979032786e-01,-3.459456344059034377e-03,8.062884078325518035e-05,7.198277753331272510e-01
3.066666666666666985e+09,4.988427180263413656e-05,4.768058750399272491e-05,-7.198587101433261415e-01,-3.588996755685567620e-03,6.900636925679387991e-05,7.198676569112725243e-01
3.173333333333333015e+09,5.042263706571333974e-05,5.257119137902437176e-05,-7.198646980537478646e-01,-3.703259243346876048e-03,7.284347940392918636e-05,7.198742234814613505e-01
3.280000000000000000e+09,5.919445068093083702e-05,5.306318776755168676e-05,-7.197935107979420710e-01,-3.871011425766099617e-03,7.949644575370398041e-05,7.198039197700201175e-01
