# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11)
4.000000000000000000e+09,1.734474929010136952e-06,1.447250330028162807e-04,-7.187396673015917781e-01,6.920119239838432718e-03
4.080000000000000000e+09,2.415188142490348379e-06,1.475416924226737253e-04,-7.187337076803235192e-01,7.086375146907183259e-03
4.160000000000000477e+09,3.120150223803986480e-06,1.486421859728256716e-04,-7.187273122471864450e-01,7.255292416877212429e-03
4.240000000000000000e+09,3.183671033698401073e-06,1.482893339319944586e-04,-7.187344578889873770e-01,7.428485814154351871e-03
4.320000000000000000e+09,4.298115251704092678e-06,1.470033308919416019e-04,-7.187130008841807749e-01,7.601830061794599344e-03
4.400000000000000000e+09,4.654089349582472636e-06,1.453881553155677642e-04,-7.187049536090059920e-01,7.779881560881183288e-03
4.480000000000000000e+09,4.825504778110470009e-06,1.440669520593868794e-04,-7.186962026593228803e-01,7.961468868439822849e-03
4.560000000000000000e+09,4.833720580106750392e-06,1.435436788936083675e-04,-7.186866443194768195e-01,8.146907715629175817e-03
4.640000000000000000e+09,4.729094898516408125e-06,1.441376422752109812e-04,-7.186761511421684290e-01,8.336567720564716857e-03
4.720000000000000000e+09,4.651253202815919003e-06,1.460127543722921696e-04,-7.186738930606293430e-01,8.532575597265792955e-03
4.800000000000000000e+09,4.454600853730532151e-06,1.489116129888385059e-04,-7.186516812887360217e-01,8.730362260187286838e-03
4.880000000000000000e+09,4.415182287547479221e-06,1.527626204608332366e-04,-7.186372405514024342e-01,8.935610333689263801e-03
4.960000000000000000e+09,4.500520534165927501e-06,1.571802977732012884e-04,-7.186208928601016677e-01,9.147344041326136918e-03
5.040000000000000000e+09,4.725093562519256632e-06,1.618095367752078956e-04,-7.186021584699566755e-01,9.366421276589145459e-03
5.120000000000000000e+09,5.078901480446456726e-06,1.663229709042846744e-04,-7.185803523754966671e-01,9.593870151768985402e-03
5.200000000000000000e+09,5.532326436921048516e-06,1.704575963724092990e-04,-7.185544529135566849e-01,9.830907889932063645e-03
5.280000000000000000e+09,6.043580272760264213e-06,1.740319895551912621e-04,-7.185228753764688614e-01,1.007889332426470733e-02
5.360000000000000000e+09,6.567108554205199333e-06,1.769454555054876792e-04,-7.184831661183902485e-01,1.033905190946126512e-02
5.440000000000000000e+09,7.061524314764548843e-06,1.791625287786705251e-04,-7.184319419523739203e-01,1.061179825252058125e-02
5.520000000000000000e+09,7.495653941521947391e-06,1.806864422901149035e-04,-7.183655829606898635e-01,1.089613178582885325e-02
5.600000000000000000e+09,7.849500033919974758e-06,1.815253880618804348e-04,-7.182811195283819172e-01,1.118991827052951381e-02
5.680000000000000000e+09,8.106526845302029172e-06,1.816573105308453943e-04,-7.181764370389062124e-01,1.149055694770197665e-02
5.760000000000000000e+09,8.235896713622311332e-06,1.809998186854534612e-04,-7.180500823978372971e-01,1.179534741850478755e-02
5.840000000000000954e+09,8.165447449226186869e-06,1.793902961850467326e-04,-7.179010743271410089e-01,1.210160315563434640e-02
5.920000000000000000e+09,7.747026569872111722e-06,1.765795231382427449e-04,-7.177287883931663393e-01,1.240667438449237665e-02
6.000000000000000000e+09,6.716358881880120596e-06,1.722409852954424479e-04,-7.175328926757306158e-01,1.270794787374708579e-02
6.080000000000000000e+09,4.650312980134909736e-06,1.659974436285779409e-04,-7.173133114438098312e-01,1.300284335657932860e-02
6.160000000000000000e+09,9.253262633823408634e-07,1.574656393616834401e-04,-7.170702042594798709e-01,1.328881121564787736e-02
6.239999999999999046e+09,-5.318234360416333089e-06,1.463193867988458617e-04,-7.168039539919125458e-01,1.356333233212218652e-02
6.320000000000000000e+09,-1.519989256769662084e-05,1.323703747399604250e-04,-7.165151604457092871e-01,1.382391985339969862e-02
6.400000000000000954e+09,-3.010465878291353745e-05,1.156647373783924318e-04,-7.162046378756574683e-01,1.406812271424954554e-02
6.480000000000000000e+09,-5.166341500865235864e-05,9.659180814054041907e-05,-7.158734155195056736e-01,1.429353081225193806e-02
6.560000000000000000e+09,-8.170148941057719179e-05,7.599966637174337752e-05,-7.155227406091092535e-01,1.449778208607229238e-02
6.640000000000000000e+09,-1.221497650184482742e-04,5.530974038939179922e-05,-7.151540835399463614e-01,1.467857183662977204e-02
