# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11)
4.000000000000000000e+09,3.793166776779418508e-05,1.405030602221239114e-04,-7.188499053543301320e-01,6.802506728134561156e-03
4.080000000000000000e+09,2.196559582833512597e-06,1.453682834006115394e-04,-7.187430602321304152e-01,6.950173518836868028e-03
4.160000000000000477e+09,2.087644288183130073e-06,1.463733110008728032e-04,-7.187535842178189860e-01,7.109359075075255899e-03
4.240000000000000000e+09,1.140363997723412587e-06,1.459018303440464618e-04,-7.187035066793628912e-01,7.267580817106278519e-03
4.320000000000000000e+09,3.532799279804206017e-06,1.445528127791247596e-04,-7.187266636736632242e-01,7.430023239951412915e-03
4.400000000000000000e+09,3.764001892874722841e-06,1.428628958088423359e-04,-7.187205135188580174e-01,7.593933467426334377e-03
4.480000000000000000e+09,2.990605515983853755e-05,1.417945612522162702e-04,-7.187287850912007503e-01,7.761292231953335376e-03
4.560000000000000000e+09,3.824338363675651391e-06,1.409353976601053298e-04,-7.187069793083901148e-01,7.928378053195810418e-03
4.640000000000000000e+09,3.710768499029476200e-06,1.415323166030869407e-04,-7.186995076738524890e-01,8.099208375574061536e-03
4.720000000000000000e+09,3.503381279858460006e-06,1.434283537704325411e-04,-7.187049894268547900e-01,8.274069851753034638e-03
4.800000000000000000e+09,3.442065855460317047e-06,1.464246158801234092e-04,-7.186828806242286927e-01,8.449001472731998766e-03
4.880000000000000000e+09,3.420697053017945586e-06,1.504486875236791762e-04,-7.186854142013235913e-01,8.629835482177071471e-03
4.960000000000000000e+09,3.420837885999614103e-06,1.550026725821036767e-04,-7.186635209745548813e-01,8.811180720812451447e-03
5.040000000000000000e+09,3.563230649375438609e-06,1.598838277253581579e-04,-7.186525779653483159e-01,8.997616298077141042e-03
5.120000000000000000e+09,3.804751193470385202e-06,1.647355232436149407e-04,-7.186406240094848075e-01,9.188067960074786447e-03
5.200000000000000000e+09,4.125547326265549569e-06,1.693164313337906823e-04,-7.186274950463223954e-01,9.382934864390376009e-03
5.280000000000000000e+09,4.497995529707079544e-06,1.734711121405260249e-04,-7.186129847404137960e-01,9.582674942476202343e-03
5.360000000000000000e+09,4.892409148918994847e-06,1.771292283245363248e-04,-7.185968285551956880e-01,9.787816640410579999e-03
5.440000000000000000e+09,5.281692446035307398e-06,1.802913410637531800e-04,-7.185786795476830635e-01,9.998973257816567983e-03
5.520000000000000000e+09,5.644182871187008264e-06,1.830069243178644787e-04,-7.185580704057696888e-01,1.021685897555193491e-02
5.600000000000000000e+09,5.964562501448000657e-06,1.853500838300525247e-04,-7.185343522747936751e-01,1.044230226706790998e-02
5.680000000000000000e+09,6.233143480410407632e-06,1.873973921821879649e-04,-7.185065956894917116e-01,1.067624214677279949e-02
5.760000000000000000e+09,6.444218401966213242e-06,1.892106164693962414e-04,-7.184734405810256908e-01,1.091966553279605581e-02
5.840000000000000954e+09,6.594254659590322325e-06,1.908253557318818753e-04,-7.184329302411798235e-01,1.117339752799974620e-02
5.920000000000000000e+09,6.680574564247539123e-06,1.922448499071066587e-04,-7.183825168979492970e-01,1.143769034613961386e-02
6.000000000000000000e+09,6.700378353072622040e-06,1.934368336933821341e-04,-7.183194648934249082e-01,1.171187004381251014e-02
6.080000000000000000e+09,6.648679486708845336e-06,1.943310316767135864e-04,-7.182413934248199627e-01,1.199444088731728593e-02
6.160000000000000000e+09,6.512874210902797551e-06,1.948161319404554141e-04,-7.181464932918142363e-01,1.228347356298536801e-02
6.239999999999999046e+09,6.262315357465308941e-06,1.947366539348829287e-04,-7.180334612890796331e-01,1.257689056554629065e-02
6.320000000000000000e+09,5.832262342228460906e-06,1.938908388801060070e-04,-7.179013792346911060e-01,1.287258969829264271e-02
6.400000000000000954e+09,5.102303776149356030e-06,1.920311901680368132e-04,-7.177496230218060047e-01,1.316848473559475811e-02
6.480000000000000000e+09,3.869955679810183687e-06,1.888697187504627222e-04,-7.175778048766202621e-01,1.346251577821694356e-02
6.560000000000000000e+09,1.820823403633802439e-06,1.840903417933555347e-04,-7.173857376238533812e-01,1.375265024163384309e-02
6.640000000000000000e+09,-1.502515171592275602e-06,1.773709223125561534e-04,-7.171734122736987960e-01,1.403688164790778056e-02
6.720000000000000000e+09,-6.729955874448302101e-06,1.684170925068607298e-04,-7.169409837466502733e-01,1.431322842831717936e-02
6.799999999999999046e+09,-1.468798765801937814e-05,1.570093874650873591e-04,-7.166887618703041696e-01,1.457973335918291702e-02
6.880000000000000000e+09,-2.641421995630343711e-05,1.430638657805098342e-04,-7.164172060511437845e-01,1.483446379040490037e-02
6.960000000000000954e+09,-4.315769158942531561e-05,1.267053949471048469e-04,-7.161269227599329490e-01,1.507551274266909734e-02
7.039999999999999046e+09,-6.636022145033545388e-05,1.083506987691131062e-04,-7.158186653139658739e-01,1.530100102661075163e-02
7.120000000000000000e+09,-9.761435711141613967e-05,8.879708982926330109e-05,-7.154933356231870656e-01,1.550908057839994053e-02
7.200000000000000000e+09,-1.385941149284659901e-04,6.931088211562902142e-05,-7.151519876121152919e-01,1.569793932960206195e-02
7.280000000000000000e+09,-1.909559862408718783e-04,5.170793453197007725e-05,-7.147958320436785806e-01,1.586580791670329574e-02
7.359999999999999046e+09,-2.514513136326169225e-04,3.270008147115429460e-05,-7.143009267713774646e-01,1.638752736421888664e-02
7.440000000000000000e+09,-3.355555223413914621e-04,3.252837500527930911e-05,-7.140447611275706485e-01,1.613176669803996141e-02
7.520000000000000000e+09,-4.297045097472778534e-04,3.778239633196137526e-05,-7.136531065813915831e-01,1.622662492306964355e-02
7.599999999999999046e+09,-5.386659947022602504e-04,5.855025956694474756e-05,-7.132531786049248756e-01,1.629406072451354201e-02
7.680000000000000000e+09,-7.141992710537085551e-04,-3.010190663656464030e-04,-7.128470634711112641e-01,1.633270688891132541e-02
7.760000000000000954e+09,-7.962625108761253127e-04,1.666420272200292308e-04,-7.124370365401586636e-01,1.634133536560632843e-02
7.840000000000000000e+09,-9.394732483920913146e-04,2.647450338505645366e-04,-7.120255620663823448e-01,1.631888416254150334e-02
7.919999999999999046e+09,-1.086268819366140951e-03,3.994421789941813086e-04,-7.116152891934723890e-01,1.626448701270519909e-02
8.000000000000000000e+09,-1.230111111555154315e-03,5.757081686129514797e-04,-7.112090432775729498e-01,1.617750532527566579e-02
8.080000000000000000e+09,-1.362757560276325799e-03,7.977041149954487015e-04,-7.108098116180453507e-01,1.605756158171883427e-02
8.159999999999999046e+09,-1.474282057069417270e-03,1.068334865657435484e-03,-7.104207228607327673e-01,1.590457328408310597e-02
8.240000000000000000e+09,-1.553196284922496364e-03,1.388770145995381474e-03,-7.100450194199229292e-01,1.571878617007659018e-02
8.320000000000000954e+09,-1.586686754135534748e-03,1.757947978276682473e-03,-7.096860225188578175e-01,1.550080526662415623e-02
