# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11)
4.000000000000000000e+09,3.786221972640948239e-05,1.405115773924473139e-04,-7.188419373766978815e-01,6.803568814894685006e-03
4.080000000000000000e+09,2.288337136658957119e-06,1.453712856215120793e-04,-7.187508869961839464e-01,6.951939771619500795e-03
4.160000000000000477e+09,2.075594999492939554e-06,1.463815307121167837e-04,-7.187535393787496396e-01,7.110349375052270673e-03
4.240000000000000000e+09,1.130170017720087455e-06,1.459103751272578333e-04,-7.187034671063582403e-01,7.268602491812221900e-03
4.320000000000000000e+09,3.523829961316897671e-06,1.445631163903168500e-04,-7.187266154080741432e-01,7.431088720996180917e-03
4.400000000000000000e+09,3.755804236614277837e-06,1.428744201175831928e-04,-7.187204614134639069e-01,7.595041394144705013e-03
4.480000000000000000e+09,2.989798044623316137e-05,1.418109291460423313e-04,-7.187287264164610168e-01,7.762450144245759166e-03
4.560000000000000000e+09,3.815680445179209995e-06,1.409495163701301079e-04,-7.187069184173463521e-01,7.929577361205641939e-03
4.640000000000000000e+09,3.701139603212876958e-06,1.415476759430054580e-04,-7.186994417436599614e-01,8.100456988064958647e-03
4.720000000000000000e+09,3.492662624721101149e-06,1.434450513946106467e-04,-7.187049169238139967e-01,8.275377230188316752e-03
4.800000000000000000e+09,3.430341850110452658e-06,1.464421264015537661e-04,-7.186828030277004897e-01,8.450356992532876213e-03
4.880000000000000000e+09,3.408451523783653360e-06,1.504673262638590771e-04,-7.186853299868437572e-01,8.631256975395117451e-03
4.960000000000000000e+09,3.908811521444258965e-06,1.550104339734104792e-04,-7.186434486538783029e-01,8.813284233097984713e-03
5.040000000000000000e+09,3.551957740759646733e-06,1.599038061956530455e-04,-7.186524776461646891e-01,8.999156921329137457e-03
5.120000000000000000e+09,3.795173021746608684e-06,1.647562446156992846e-04,-7.186405142589701311e-01,9.189678200266374400e-03
5.200000000000000000e+09,4.118442973771023767e-06,1.693379139076322247e-04,-7.186273746612111823e-01,9.384619369573375669e-03
5.280000000000000000e+09,4.494061719247096066e-06,1.734933938153427366e-04,-7.186128522884108749e-01,9.584438872682028016e-03
5.360000000000000000e+09,5.711909410051920092e-06,1.771710493382501212e-04,-7.185744552208657154e-01,9.790427941789810184e-03
5.440000000000000000e+09,5.285819273069008829e-06,1.803153501335792047e-04,-7.185785173943274318e-01,1.000091401461211844e-02
5.520000000000000000e+09,5.653052836776274929e-06,1.830318475343593204e-04,-7.185578897110913577e-01,1.021889866384587814e-02
5.600000000000000000e+09,5.978605228580072447e-06,1.853759443099643094e-04,-7.185341496841455289e-01,1.044444914799979446e-02
5.680000000000000000e+09,6.252794143491603645e-06,1.874242148262464727e-04,-7.185063668197486653e-01,1.067850560337887944e-02
5.760000000000000000e+09,6.469938169288408319e-06,1.892384495907782009e-04,-7.184731795492689255e-01,1.092205616863687993e-02
5.840000000000000954e+09,6.626539437504979669e-06,1.908543082387719489e-04,-7.184326290002557291e-01,1.117592707220090541e-02
5.920000000000000000e+09,6.719949464431851800e-06,1.922751589088216191e-04,-7.183821645169327086e-01,1.144037115964179931e-02
6.000000000000000000e+09,6.747396657348339784e-06,1.934689604089918891e-04,-7.183190471470298766e-01,1.171471421787702132e-02
6.080000000000000000e+09,6.703942711036710325e-06,1.943658124180973952e-04,-7.182408928861477859e-01,1.199745931686780308e-02
6.160000000000000000e+09,6.577111581399320628e-06,1.948549750781207869e-04,-7.181458897099096683e-01,1.228667527779222016e-02
6.239999999999999046e+09,6.336558139255497651e-06,1.947817845634842386e-04,-7.180327320065754693e-01,1.258028230298382719e-02
6.320000000000000000e+09,5.918159014275098639e-06,1.939455632599039426e-04,-7.179004995714876047e-01,1.287617559498466929e-02
6.400000000000000954e+09,5.202614125473096124e-06,1.921001377150435591e-04,-7.177485666312126700e-01,1.317226608848121212e-02
6.480000000000000000e+09,3.989253362034760628e-06,1.889590032982035796e-04,-7.175765440906962667e-01,1.346649083016076588e-02
6.560000000000000000e+09,1.966425556495723795e-06,1.842075414239295681e-04,-7.173842438002226984e-01,1.375681400611659944e-02
6.640000000000000000e+09,-1.319404188715651328e-06,1.775248263241165569e-04,-7.171716561485993457e-01,1.404122575272056216e-02
6.720000000000000000e+09,-6.492932617855546652e-06,1.686170333781277105e-04,-7.169389357995841205e-01,1.431774099048919828e-02
6.799999999999999046e+09,-1.437404595480747268e-05,1.572640125111423811e-04,-7.166863926970453713e-01,1.458439888816058690e-02
6.880000000000000000e+09,-2.599238982593825775e-05,1.433794098270673128e-04,-7.164144867503858816e-01,1.483926312128242171e-02
6.960000000000000954e+09,-4.258789438087311782e-05,1.270832650976457423e-04,-7.161238253263673137e-01,1.508042300362236188e-02
7.039999999999999046e+09,-6.559258494182008351e-05,1.087841355083401113e-04,-7.158151630403651877e-01,1.530599563343639467e-02
7.120000000000000000e+09,-9.658923909272118676e-05,8.926729183966708133e-05,-7.154894035113964490e-01,1.551412926838792970e-02
7.200000000000000000e+09,-1.372431672509151848e-04,6.978228898303807807e-05,-7.151476027873148178e-01,1.570300823208641006e-02
7.280000000000000000e+09,-1.892045512099443873e-04,5.212329865795614268e-05,-7.147909741744588041e-01,1.587085965513350058e-02
