# Frequency, Real(S21), Imag(S21), Real(S11), Imag(S11)
4.000000000000000000e+09,3.786374115915360140e-05,1.405115309448881633e-04,-7.188419430796575416e-01,6.803416320350719540e-03
4.080000000000000000e+09,2.184810686141987962e-06,1.453746453030133978e-04,-7.187430281765947448e-01,6.950963603240467234e-03
4.160000000000000477e+09,2.077606394537795964e-06,1.463801577479214059e-04,-7.187535469078178973e-01,7.110183336282315317e-03
4.240000000000000000e+09,1.131871348249492234e-06,1.459089471262992499e-04,-7.187034737433198872e-01,7.268431183948937356e-03
4.320000000000000000e+09,3.525327681190105409e-06,1.445613933196574971e-04,-7.187266235101711365e-01,7.430910067472502184e-03
4.400000000000000000e+09,3.757173355100049216e-06,1.428724923214357858e-04,-7.187204701603016055e-01,7.594855620185864652e-03
4.480000000000000000e+09,2.989933754318948434e-05,1.418081914201085728e-04,-7.187287362693218773e-01,7.762255989117427743e-03
4.560000000000000000e+09,3.817126759561128442e-06,1.409471527759563730e-04,-7.187069286393962253e-01,7.929376256754109425e-03
4.640000000000000000e+09,3.702748788524455362e-06,1.415451039205648084e-04,-7.186994528119010628e-01,8.100247611588227634e-03
4.720000000000000000e+09,3.494454204758957254e-06,1.434422545709227185e-04,-7.187049291008233975e-01,8.275157999478827825e-03
4.800000000000000000e+09,3.432301869880524683e-06,1.464391926212388632e-04,-7.186828160551225197e-01,8.450129678660380297e-03
4.880000000000000000e+09,3.410499249571621801e-06,1.504642028870026098e-04,-7.186853441323270975e-01,8.631018597795922856e-03
4.960000000000000000e+09,3.910804332195499377e-06,1.550071976155560551e-04,-7.186434656442490798e-01,8.813035736187267710e-03
5.040000000000000000e+09,3.553844383020097897e-06,1.599004566994724670e-04,-7.186524944900103407e-01,8.998898546042624277e-03
5.120000000000000000e+09,3.796777508368571936e-06,1.647527695169996793e-04,-7.186405326870590748e-01,9.189408141634512750e-03
5.200000000000000000e+09,4.119635402968031398e-06,1.693343103572980094e-04,-7.186273948757576635e-01,9.384336846796233894e-03
5.280000000000000000e+09,4.494725614197537705e-06,1.734896552038757791e-04,-7.186128745302380327e-01,9.584143018668977651e-03
5.360000000000000000e+09,4.892283012636722652e-06,1.771484710763028222e-04,-7.185967068686024417e-01,9.789355601432219584e-03
