# Frequency, Real(S11), Imag(S11), Amp(S11), Phase(S11), Real(E0), Imag(E0), Amp(E0), Phase(E0), Real(E1), Imag(E1), Amp(E1), Phase(E1), Real(E2), Imag(E2), Amp(E2), Phase(E2), Real(I0), Imag(I0), Amp(I0), Phase(I0), Real(I1), Imag(I1), Amp(I1), Phase(I1), Real(I2), Imag(I2), Amp(I2), Phase(I2), Real(S21), Imag(S21), Amp(S21), Phase(S21), Real(ZL1), Imag(ZL1), Amp(ZL1), Phase(ZL1), Real(ZL2), Imag(ZL2), Amp(ZL2), Phase(ZL2), Real(J4avg), Imag(J4avg), Amp(J4avg), Phase(J4avg), Real(Icavg), Imag(Icavg), Amp(Icavg), Phase(Icavg) 
2.000000000000000000e+09,-7.198032265361796744e-01,-3.201016733541372280e-03,7.198103440768430783e-01,-3.137145610961748599e+00,8.349822325888565100e-01,-6.581931970194802028e-01,1.063209110825239057e+00,-6.675487603649182811e-01,2.890488628443504293e+00,-1.398186891406223653e+00,3.210895684145065765e+00,-4.505389165687225250e-01,-1.396488798442327151e-01,-5.337058395521300236e-01,5.516735745110444844e-01,-1.826717610351490384e+00,1.630261500319015454e-07,-9.299565069817850913e-08,1.876851529636846554e-07,-5.183960013787023424e-01,-3.424175873924410583e-07,1.199464226429007893e-07,3.628180652344772330e-07,2.804656993003613152e+00,1.790043056959980001e-07,-2.763609581529654239e-08,1.811250817794668545e-07,-1.531784889481045409e-01,-8.170664084821578887e-06,4.615516341380336416e-06,9.384175120091386635e-06,2.627390435034574701e+00,1.628772073537714604e+01,-2.177984992222578853e-01,1.628917686501985429e+01,-1.337114767107443029e-02,1.629622346409730227e+01,-2.151013892904342362e-01,1.629764301362224899e+01,-1.319869594319599861e-02,-4.605790673103533268e-19,-3.620752058565885981e-19,5.858596520844953915e-19,-2.475366186947610014e+00,-1.932489245079198614e+00,9.987789379389467870e-01,2.175333089257188046e+00,2.664567578663228797e+00
2.106666666666666746e+09,-7.198110174296162844e-01,-3.404195526973527799e-03,7.198190670996741369e-01,-3.136863398180725238e+00,9.936569172797977689e-01,-7.085159596468884047e-01,1.220388845545689938e+00,-6.194233553231361933e-01,3.177133380108864369e+00,-1.446112451476489147e+00,3.490761770347171389e+00,-4.271388862078409621e-01,2.196527636780714610e-01,-4.481974696577339379e-01,4.991275472251657241e-01,-1.115115898888032087e+00,2.126216889102546025e-07,-7.218521929505894541e-08,2.245410619012140533e-07,-3.272909066794908450e-01,-3.609661074277642335e-07,1.208692887800276460e-07,3.806650964847472464e-07,2.818478249659991608e+00,1.480296973693482886e-07,-4.962471117852062412e-08,1.561262414292114784e-07,-3.234609285793366706e-01,-1.064682050292109360e-05,3.562228880076068756e-06,1.122694354735379351e-05,2.818719194981820664e+00,1.628711275151110627e+01,-2.315595467672409424e-01,1.628875874964494486e+01,-1.421638999198157616e-02,1.629567231879074996e+01,-2.288135593422972180e-01,1.629727866750587140e+01,-1.404044699801708720e-02,-2.979364549333676796e-19,-1.229294478936391082e-19,3.223007606843296745e-19,-2.750269133300277780e+00,-1.775713906606516090e+01,-1.397759560508594667e+01,2.259843283749772525e+01,-2.474734126937877310e+00
2.213333333333333492e+09,-7.198984365495888493e-01,-3.582835088197282736e-03,7.199073521320723534e-01,-3.136615832797482462e+00,-6.824330597895139627e-01,-3.775571238835487287e-01,7.799129841776553107e-01,-2.636256506325039162e+00,4.273423972885560751e+00,-1.929089343778835008e+00,4.688660592142927186e+00,-4.240303408973689625e-01,2.304549669250039179e-01,-4.676933127813648894e-01,5.213890357504771256e-01,-1.112967091772089523e+00,8.853999295200435884e-07,-2.484849553513783173e-07,9.196074207128140903e-07,-2.736086921825595653e-01,-7.912216613699823539e-07,2.470470289004066084e-07,8.288932089899116788e-07,2.838949303537615876e+00,-9.531242602893375565e-08,-2.676608142152670863e-09,9.535000150323862615e-08,-3.113517564401338422e+00,-4.432670436994622174e-05,1.221852103791322091e-05,4.597987577902464646e-05,2.872625074294080427e+00,1.628365089297282253e+01,-2.428179330794553170e-01,1.628546121400433577e+01,-1.491065728181405030e-02,1.628721275052049933e+01,-2.416656791776467250e-01,1.628900553997112155e+01,-1.483666667001222114e-02,4.898269011922034717e-19,5.169321377114684437e-19,7.121441062948602998e-19,8.123149221587283586e-01,5.789358499167938099e+00,3.013602780398971337e+00,6.526750611898423315e+00,4.799456346360234105e-01
2.320000000000000000e+09,-7.199301870322689645e-01,-3.761252805015233812e-03,7.199400122392010104e-01,-3.136368232316592675e+00,2.541359684244303363e+00,-2.937882504826527796e-01,2.558284695029847899e+00,-1.150919006156165686e-01,2.784921889773308123e+00,-2.547953692871087306e+00,3.774633485936607524e+00,-7.409920239434146794e-01,-2.284637424182403009e+00,-1.972662898216734628e-01,2.293138057133676799e+00,-3.055461595870059721e+00,-6.917437439188918849e-07,-3.250025699992389050e-07,7.642879547376339434e-07,-2.702370298384807246e+00,-9.140761659787973148e-08,3.652520695149353163e-07,3.765161705120354029e-07,1.816018737019682083e+00,7.815539487112144782e-07,-3.689206517493364614e-08,7.824241811312858323e-07,-4.716846640134932100e-02,3.450731660566535024e-05,1.641800021699832247e-05,3.821394549701698505e-05,4.440871325899576894e-01,1.627984639772413900e+01,-2.545467653795416840e-01,1.628183628431562369e+01,-1.563442422971462673e-02,1.628662198627277391e+01,-2.540441562942000742e-01,1.628860319846643279e+01,-1.559706830902182588e-02,1.661542384243326179e-19,1.552523072994636407e-19,2.273994500173143782e-19,7.514917194900495589e-01,4.790726107794748856e+01,3.732603077051773255e+01,6.073169055009302753e+01,6.618857586442870033e-01
2.426666666666666508e+09,-7.187531348932617581e-01,-3.983804178895211656e-03,7.187641752443058030e-01,-3.136050050447406257e+00,3.096720547692292769e+00,-5.215943963227676061e-01,3.140340565094009939e+00,-1.668681800540293414e-01,-9.325371762566231132e-04,-1.443516438375586075e+00,1.443516739593317721e+00,-1.571442344409755165e+00,-2.087540199292902354e+00,-2.258069074852071256e-01,2.099717324577735411e+00,-3.033842702814585568e+00,-1.248292636847926087e-06,-9.314291340710815276e-08,1.251762800823986848e-06,-3.067114421901631527e+00,4.442458287613827535e-07,1.539291797287074628e-07,4.701580040197555959e-07,3.335493636477328550e-01,8.035405420743308616e-07,-5.443692398407018416e-08,8.053823821328331769e-07,-6.764297395546238489e-02,6.238931854178633393e-05,4.974612787229166980e-06,6.258732971210186145e-05,7.956667292436452044e-02,1.635753218156623845e+01,-2.692004496482551246e-01,1.635974718487623747e+01,-1.645579217048304121e-02,1.636806914031740590e+01,-2.702221271810118508e-01,1.637029955071773202e+01,-1.650760264739244143e-02,3.371433984338694244e-20,1.148405390330312672e-19,1.196871175877862139e-19,1.285244171833334503e+00,1.414685772446813150e+00,4.819742093605691724e-01,1.494535035806180856e+00,3.283599899453003013e-01
2.533333333333333492e+09,-7.186278664083054490e-01,-4.141976630152859919e-03,7.186398029256089171e-01,-3.135828987917485211e+00,4.435822824790786711e+00,-6.485887322180396986e-01,4.482989122950792549e+00,-1.451872775673751781e-01,4.356689817841933460e-02,-1.358567864624410371e+00,1.359266242281849335e+00,-1.538739059593163372e+00,-2.280849664784991404e+00,-3.392273117471783506e-01,2.305938065600424025e+00,-2.993946474253900369e+00,-1.674029741213175087e-06,-5.859477661113800797e-08,1.675054901283047333e-06,-3.106604705949139067e+00,6.368172077303371525e-07,1.207893653632208413e-07,6.481714486509823788e-07,1.874498605189139910e-01,1.036854038479720399e-06,-5.330378848745522282e-08,1.038223285704390634e-06,-5.136393547734391385e-02,8.368356231050369347e-05,3.374278843792117732e-06,8.375156332088146941e-05,4.030005221202866139e-02,1.636837957906877961e+01,-2.808913021264452525e-01,1.637078953404771298e+01,-1.715892112309570783e-02,1.637408093603088233e+01,-2.800290126468768515e-01,1.637647528461524615e+01,-1.710030125165937914e-02,-2.351052577674671375e-19,-1.861143197672441410e-19,2.998550020465411168e-19,-2.471981622892016173e+00,-1.051603751105261608e+01,2.843750824618373230e+01,3.031961279742262150e+01,1.924995583331835736e+00
2.640000000000000477e+09,-7.187423406744932741e-01,-4.254048294418890167e-03,7.187549298649300589e-01,-3.135673983741734450e+00,3.297015144866491276e+00,-6.561400692579432148e-01,3.361670515675923454e+00,-1.964437724243730532e-01,1.905637611858383151e-01,-9.825366909601519483e-01,1.000846090145841805e+00,-1.379224029635896187e+00,-2.401568728123253393e+00,-4.523144081403906447e-01,2.443792274255513153e+00,-2.955432167675194677e+00,-1.326842939760443478e-06,-1.693993562062544166e-08,1.326951072274696522e-06,-3.128826247855931442e+00,4.404358526570539192e-07,5.708570457272082177e-08,4.441199364724691697e-07,1.288932833949275880e-01,8.862726527194393909e-07,-3.280134427111679781e-08,8.868794411555295379e-07,-3.699355911442571421e-02,6.633542526882581811e-05,1.214218015082141843e-06,6.634653699315529651e-05,1.830217311163888014e-02,1.636076546623663930e+01,-2.882980290710348559e-01,1.636330536275503533e+01,-1.761948090885386703e-02,1.636611953299632205e+01,-2.877226061440278371e-01,1.636864847403138867e+01,-1.757856949165522570e-02,4.203106981719613432e-19,3.171508034308980833e-19,5.265412757938980264e-19,6.464148898832626777e-01,6.356110608184472710e+00,2.437186979136285014e+00,6.807350617879663446e+00,3.661495033187255332e-01
2.746666666666666985e+09,-7.187881349830491651e-01,-4.432668369183951490e-03,7.188018026836613394e-01,-3.135425868186739518e+00,6.345354552340245480e-01,-7.863060792308733671e-01,1.010402144784184220e+00,-8.918120792606754055e-01,2.131122392975558721e+00,-8.307118047539874262e-01,2.287305129710397456e+00,-3.716825866167954295e-01,1.329203976808985277e-01,-5.633369779931792776e-01,5.788059976314481325e-01,-1.339082530179800834e+00,1.499839408183928267e-07,2.672987856432946677e-08,1.523471985678731071e-07,1.763665906949618001e-01,-2.467012366568027831e-07,8.685587408493528567e-09,2.468540856389182876e-07,3.106400282763166487e+00,9.687621634219926202e-08,-3.627838215137464602e-08,1.034462290482440541e-07,-3.583163011857615210e-01,-7.491251015729855718e-06,-1.379639737143937933e-06,7.617233591336173910e-06,-2.959466633435294369e+00,1.635801885891838126e+01,-3.001725525886778101e-01,1.636077273694787948e+01,-1.834811841903376609e-02,1.636254312040465209e+01,-3.000020410554015693e-01,1.636529311047434376e+01,-1.833262894025543960e-02,-1.960439217425846753e-19,-1.483199063249365337e-19,2.458292372043053229e-19,-2.493903373218426367e+00,-1.939748332457179592e+00,-1.557953752986181994e+00,2.487939607328549574e+00,-2.464919864447985276e+00
2.853333333333333015e+09,-7.188011132667406766e-01,-4.617826864118518282e-03,7.188159463718460929e-01,-3.135168396238011912e+00,6.213410154543931307e-01,-8.249705978586231447e-01,1.032783203202448652e+00,-9.252711193628252451e-01,2.166903009377114220e+00,-8.452772555604476379e-01,2.325932563686100352e+00,-3.719302085854155893e-01,7.619755334261717195e-02,-5.911799644462009118e-01,5.960703125454348550e-01,-1.442612418132378282e+00,1.508082570691822253e-07,3.198614545075004128e-08,1.541630432400745210e-07,2.090008299440489770e-01,-2.550455054064099524e-07,4.852876558501858323e-09,2.550916702656187453e-07,3.122567456404154562e+00,1.044340182569144563e-07,-3.774015499852389841e-08,1.110440609334787914e-07,-3.467749313415145473e-01,-7.530574357474891135e-06,-1.644363922000485854e-06,7.708014197018269101e-06,-2.926608732635839871e+00,1.635751505373394465e+01,-3.126965370039475056e-01,1.636050359424754674e+01,-1.911405577938005834e-02,1.636115750242282374e+01,-3.125383746778331862e-01,1.636414235622303792e+01,-1.910013808310893207e-02,1.131021844936398862e-19,7.001858599589463240e-20,1.330214513606653126e-19,5.543263394876495331e-01,-2.589436492291209202e+00,-2.069872957424658466e+01,2.086007160427306673e+01,-1.695250990960392778e+00
2.960000000000000000e+09,-7.188431475250274261e-01,-4.804729203290783283e-03,7.188592046892112730e-01,-3.134908778713191513e+00,6.450826138836314172e-01,-8.609016293049328583e-01,1.075770976590661787e+00,-9.277366562833764263e-01,2.224536819534985277e+00,-8.868851423135587497e-01,2.394813002537644842e+00,-3.793705671626662057e-01,8.954707674080461532e-02,-6.490428449371229425e-01,6.551910358947974355e-01,-1.433693977815776455e+00,1.543534934939858239e-07,2.781608265075560279e-08,1.568398399891800231e-07,1.782965887225223811e-01,-2.606349007321045114e-07,5.479806678727553046e-09,2.606925003924550904e-07,3.120570912298901600e+00,1.064599964843954848e-07,-3.425282699949677327e-08,1.118346413635549351e-07,-3.112838212694621354e-01,-7.708745212385291240e-06,-1.438651016037964931e-06,7.841840950658220547e-06,-2.957089313007403408e+00,1.635395170619947436e+01,-3.251846276696824800e-01,1.635718439862977647e+01,-1.988154218131662002e-02,1.635889142929682194e+01,-3.253239648430948927e-01,1.636212591559000984e+01,-1.988405449499386010e-02,-2.019728490879942029e-19,-1.945695552129930966e-19,2.804466858147973334e-19,-2.374861936155405306e+00,-1.417763546018350951e+01,5.370110855932940019e+00,1.516058830807240376e+01,2.779517928427248652e+00
