# Frequency, Real(S11), Imag(S11), Amp(S11), Phase(S11), Real(E0), Imag(E0), Amp(E0), Phase(E0), Real(E1), Imag(E1), Amp(E1), Phase(E1), Real(E2), Imag(E2), Amp(E2), Phase(E2), Real(I0), Imag(I0), Amp(I0), Phase(I0), Real(I1), Imag(I1), Amp(I1), Phase(I1), Real(I2), Imag(I2), Amp(I2), Phase(I2), Real(S21), Imag(S21), Amp(S21), Phase(S21), Real(ZL1), Imag(ZL1), Amp(ZL1), Phase(ZL1), Real(ZL2), Imag(ZL2), Amp(ZL2), Phase(ZL2), Real(J4avg), Imag(J4avg), Amp(J4avg), Phase(J4avg), Real(Icavg), Imag(Icavg), Amp(Icavg), Phase(Icavg) 
2.000000000000000000e+09,-7.197673261731805106e-01,-3.227016783764382040e-03,7.197745601671486915e-01,-3.137109267022264891e+00,3.126278151977804898e-01,-1.301728396697955814e+00,1.338743055856936426e+00,-1.335096634917339209e+00,1.933297544954047376e-01,-2.044699921565820588e+00,2.053819408620078057e+00,-1.476524937837510487e+00,8.128678176611107975e-02,-9.480064172609781181e-01,9.514850014886662155e-01,-1.485260572745609853e+00,-5.294255824650821782e-08,-5.868497215729423345e-08,7.903695610780640371e-08,-2.304797165091001077e+00,1.651444919643687560e-08,1.237337819879855703e-07,1.248309890904980070e-07,1.438112889114641968e+00,3.618106872584327822e-08,-6.482781502387725707e-08,7.424092762697837618e-08,-1.061747759669891211e+00,2.634775896114017809e-06,2.945298348205452850e-06,3.951813050067676788e-06,8.409892713346310833e-01,1.629168220312617876e+01,-2.197351132734086943e-01,1.629316398148817413e+01,-1.348674665153534215e-02,1.629710266782210937e+01,-2.166996000612570472e-01,1.629854331166442805e+01,-1.329603394026015670e-02,7.914317019906407063e-20,-4.302787299369205620e-20,9.008351260646599688e-20,-4.979713700644138319e-01,-2.312531529234738770e+01,7.165412395179493465e+00,2.420998434868283766e+01,2.841122518347237946e+00
2.106666666666666746e+09,-7.197995682815097052e-01,-3.415165851794783967e-03,7.198076700452996635e-01,-3.136848082495238277e+00,4.025137356402039845e-01,-1.346414147216704604e+00,1.405292981269143704e+00,-1.280300913585356692e+00,7.534052597541938123e-01,-2.040587097755723445e+00,2.175227617733925811e+00,-1.217111416277497860e+00,5.462804380022911327e-02,-9.881024396037838553e-01,9.896113652946741945e-01,-1.515566741065191625e+00,4.199180019319480636e-10,-5.067909889625971440e-08,5.068083854934938901e-08,-1.562510694223075314e+00,-6.061073018861921496e-08,1.157063202919341405e-07,1.306201101266464502e-07,2.053327645339052765e+00,5.996695098931541175e-08,-6.503006531030417229e-08,8.845871695439281192e-08,-8.258819135839620129e-01,-3.218895996499642804e-08,2.533812749081760883e-06,2.534017201313538391e-06,1.583499407767427369e+00,1.628877618208225897e+01,-2.322807951988627995e-01,1.629043228026158019e+01,-1.425920827670661140e-02,1.629555052905893575e+01,-2.295823793108842936e-01,1.629716770221141786e+01,-1.408772233628157074e-02,-7.136751217213626236e-20,-9.106793586709456238e-20,1.157008674847914203e-19,-2.235502393952352840e+00,-1.184004898131830608e+01,-1.065016552908497971e+01,1.592522482343425416e+01,-2.409051927515736935e+00
2.213333333333333492e+09,-7.198585577782339318e-01,-3.592996148845435320e-03,7.198675244986987298e-01,-3.136601442089280045e+00,3.191908239182013607e-01,-1.417859551076311231e+00,1.453343898962629943e+00,-1.349366137967193513e+00,7.578196538121001469e-01,-2.131009325869730020e+00,2.261745205510039547e+00,-1.229127742467541529e+00,3.626100196361736194e-01,-1.044174003693213004e+00,1.105344008139212963e+00,-1.236555890833040960e+00,7.269546639556962716e-08,-5.129210116005332350e-08,8.896915463171793663e-08,-6.144577603022429724e-01,-7.066840367443448685e-08,1.188572600900713597e-07,1.382789628034998591e-07,2.107210148501680980e+00,-2.263545820584332065e-09,-6.790364681773042155e-08,6.794136362208927209e-08,-1.604118660241046213e+00,-3.646597474750539693e-06,2.547680663617345170e-06,4.448409817746868739e-06,2.531776006151707392e+00,1.628595752689653153e+01,-2.437581048277031592e-01,1.628778163475760010e+01,-1.496626185119978060e-02,1.629029315619587948e+01,-2.421218565727712990e-01,1.629209237968630575e+01,-1.486185839509111990e-02,9.313615278538318427e-22,1.389009999757316279e-19,1.389041224318189999e-19,1.564091208974268676e+00,9.965221743716512481e-01,1.396668410682412320e-01,1.006262028752146209e+00,1.392472458390573986e-01
2.320000000000000000e+09,-7.199280240703840317e-01,-3.734962697006024603e-03,7.199377124364547686e-01,-3.136404733320221627e+00,2.825254672605054251e-01,-1.459155582281541852e+00,1.486255581302944107e+00,-1.379540355060240087e+00,4.996085127266814974e-01,-2.177385216640276955e+00,2.233968452694127027e+00,-1.345247107103098028e+00,3.963500661268082315e-01,-1.065428793463933044e+00,1.136763778830385485e+00,-1.214649681639434542e+00,4.989151470463927571e-08,-4.902094379384200891e-08,6.994437911628248878e-08,-7.765969623614543682e-01,-3.417611202403998328e-08,1.199910809353832528e-07,1.247632403279164051e-07,1.848270943461964633e+00,-1.595269411478788905e-08,-7.121400458913303359e-08,7.297892092338066779e-08,-1.791168874337282446e+00,-2.506440306941114737e-06,2.438853817312435018e-06,3.497177569766583030e-06,2.369860468477428483e+00,1.628161184482331336e+01,-2.532818166865071219e-01,1.628358179099901903e+01,-1.555505626635337452e-02,1.628516341537918066e+01,-2.517553918173829897e-01,1.628710926600891895e+01,-1.545795598693536915e-02,-4.847639786438612426e-19,-1.976775943915954903e-20,4.851668571778893002e-19,-3.100837122526870271e+00,1.136267631473702444e+01,-6.517319404140533123e+00,1.309907879391037433e+01,-5.207608631550821876e-01
2.426666666666666508e+09,-7.188998465273659377e-01,-3.896040125169126719e-03,7.189104036427120814e-01,-3.136173258938520281e+00,7.808568255504297340e-02,-1.348004294415576343e+00,1.350264030322559927e+00,-1.512934108658914312e+00,-6.847329053190054360e-02,-2.026820172979556300e+00,2.027976480414194871e+00,-1.604567087032282791e+00,-8.261671289650726613e-02,-9.234984130912178291e-01,9.271865185774766926e-01,-1.660019399378894533e+00,-4.634702426791718204e-08,-3.827849291006222235e-08,6.011064529645799524e-08,-2.451251102015937544e+00,2.162010080908620852e-08,1.140781039048389231e-07,1.161087531132699590e-07,1.383497539746512350e+00,2.453094888630098083e-08,-7.556477210250421700e-08,7.944685164413823404e-08,-1.256894843416283214e+00,2.307552484769507143e-06,1.925666590116551074e-06,3.005493351557616170e-06,6.954299928978949774e-01,1.635391836737625582e+01,-2.666334091508301696e-01,1.635609181136135248e+01,-1.630250203955073418e-02,1.635186976223873145e+01,-2.608158024821637944e-01,1.635394966373694459e+01,-1.594886038491011640e-02,2.221220613899207173e-20,-3.429357076528688547e-19,3.436543054945405305e-19,-1.506115916824381396e+00,-3.855276717451865665e+01,2.933641403238072343e+01,4.844523758938444757e+01,2.491125459637823170e+00
2.533333333333333492e+09,-7.186934499723910408e-01,-4.080888454699474650e-03,7.187050359388038601e-01,-3.135914510012686840e+00,2.935388270852533066e-01,-1.608106412922483353e+00,1.634677729183646289e+00,-1.390247155226395970e+00,3.903593349680378743e-01,-2.349977105993972692e+00,2.382178164850919710e+00,-1.406187399250349745e+00,2.675828612902838577e-01,-1.124249558392106607e+00,1.155654644433682821e+00,-1.337133624235349760e+00,1.063718101370072915e-08,-3.889522213283020777e-08,4.032354057719187775e-08,-1.303841029402156071e+00,-1.625275556631226706e-08,1.247231660180170967e-07,1.257776617887935997e-07,1.700376795974075206e+00,5.409263106704729979e-09,-8.588554619033740864e-08,8.605572131921350505e-08,-1.507897178996408183e+00,-5.421746229808371815e-07,1.941880991383877201e-06,2.016148582446850010e-06,1.843063728921583211e+00,1.636517155436878923e+01,-2.771108234050072006e-01,1.636751753969946321e+01,-1.693134362540239801e-02,1.636844670689373871e+01,-2.754946292569508404e-01,1.637076494508335145e+01,-1.682924622262295042e-02,-3.334496776789226194e-19,-8.179789186356474256e-20,3.433359617888880905e-19,-2.901034790459768864e+00,2.530442543762670748e+00,-2.558116609616587489e+00,3.598207895005562484e+00,-7.908365973793753945e-01
2.640000000000000477e+09,-7.187965680271942714e-01,-4.229834954227127027e-03,7.188090133765803191e-01,-3.135708115016607511e+00,-5.252362430205739091e-02,-1.643318224911989756e+00,1.644157388888824345e+00,-1.602747381087188838e+00,-3.773915619792073822e-02,-2.423622460157601743e+00,2.423916267796995427e+00,-1.586366452539589744e+00,-4.909859773457753152e-02,-1.165607731232633615e+00,1.166641356805419028e+00,-1.612894185557951054e+00,2.690621756794904196e-09,-4.560760835585961236e-08,4.568690606048535277e-08,-1.511869606782774378e+00,-2.746428124598400730e-09,1.309063341600494843e-07,1.309351411602940331e-07,1.591773350469281034e+00,-1.965791303422401977e-10,-8.531501776127922787e-08,8.531524423549332256e-08,-1.573100478954894355e+00,-1.471503627468405239e-07,2.279565819938479416e-06,2.284310302189332386e-06,1.635258814124748605e+00,1.635803420722990609e+01,-2.862588741904164569e-01,1.636053872181342683e+01,-1.749780291721142814e-02,1.636152413217478951e+01,-2.864472837302671215e-01,1.636403140959141567e+01,-1.750558326128641082e-02,4.409211596957983834e-19,4.425201949128576719e-19,6.246883959008693271e-19,7.872081686258739497e-01,-5.855547009492839905e+00,6.284358631408344387e+00,8.589563096487335514e+00,2.320886685635098257e+00
2.746666666666666985e+09,-7.187986533101493603e-01,-4.413065724435302414e-03,7.188122001952752527e-01,-3.135453228790614499e+00,2.144524331709534229e-02,-1.723176179029311195e+00,1.723309618854077518e+00,-1.558351786000967243e+00,3.584320063049988014e-02,-2.554361470486595120e+00,2.554612936814084190e+00,-1.556765090888486247e+00,5.034363015272801502e-04,-1.231553502760278196e+00,1.231553605657999872e+00,-1.570387545306835220e+00,-1.047777201182694580e-09,-5.117467069587552451e-08,5.118539594351712852e-08,-1.591267993972414585e+00,-2.988236080671685468e-09,1.392624986291068546e-07,1.392945550956526825e-07,1.592250613587939068e+00,3.741248134416254656e-09,-8.808349094714543825e-08,8.816290781864630581e-08,-1.528347954796484887e+00,3.765060268749062191e-08,2.558950384098065231e-06,2.559227351400880577e-06,1.556084089155566508e+00,1.635766576976805453e+01,-2.986900717459641252e-01,1.636039257458087803e+01,-1.825791562311689445e-02,1.636148555772985702e+01,-2.988231655477776028e-01,1.636421415589733286e+01,-1.826178590534862159e-02,6.655808263378548694e-19,6.891193961206604046e-19,9.580623040795861618e-19,8.027718974523558870e-01,2.941052283273408285e+00,-1.191945468026733934e+01,1.227693725681998771e+01,-1.328884604066745689e+00
2.853333333333333015e+09,-7.188083275312505682e-01,-4.598007756734474004e-03,7.188230334398061361e-01,-3.135196031752538914e+00,7.668367239565373333e-03,-1.805606479676042042e+00,1.805622763288120991e+00,-1.566549376408918892e+00,1.418591046510536691e-02,-2.674045335536144652e+00,2.674082963664055068e+00,-1.565491339179760022e+00,-6.309748932323673565e-03,-1.295367117477599583e+00,1.295382484818215385e+00,-1.575667300393503112e+00,-1.191397979763259811e-09,-5.398571151527586548e-08,5.399885625600576866e-08,-1.592861510102757006e+00,-1.682903784156776485e-09,1.454738862397090862e-07,1.454836201873961719e-07,1.582364236061687635e+00,2.551265395146376517e-09,-9.148297915104862197e-08,9.151854691518910396e-08,-1.542915683576313590e+00,4.341808054901935797e-08,2.699545354433072842e-06,2.699894488745763481e-06,1.554714234568866260e+00,1.635650273831045354e+01,-3.111980026630938312e-01,1.635946288926439252e+01,-1.902365474706484844e-02,1.636120771423857079e+01,-3.113483684177279498e-01,1.636416987430087033e+01,-1.902737251021561701e-02,-6.813150754063942378e-20,-5.888530689015849380e-20,9.005210540186361414e-20,-2.428861405712863242e+00,-4.871407244867810959e+00,9.120831523157175269e+00,1.034022128482597935e+01,2.061347885944841529e+00
2.960000000000000000e+09,-7.188165109910221728e-01,-4.783666638308768475e-03,7.188324282750554461e-01,-3.134937831465618885e+00,1.274237618624578976e-03,-1.900199300921315171e+00,1.900199728161059198e+00,-1.570125745857935184e+00,4.814408241601315507e-04,-2.808263640587083554e+00,2.808263681855514005e+00,-1.570624889607701968e+00,2.503849959530389871e-04,-1.384056679734636308e+00,1.384056702382785886e+00,-1.570615420191223688e+00,-3.494288372116813829e-10,-5.906565663594173946e-08,5.906669022678724420e-08,-1.576712197043743435e+00,-4.105508912288648205e-10,1.519303151325557220e-07,1.519308698333290794e-07,1.573498551769462184e+00,3.933698020170980137e-10,-9.286476512412868076e-08,9.286559826631563237e-08,-1.566560409665891829e+00,-8.590544605996210143e-10,2.953277500421389861e-06,2.953277625363009734e-06,1.571087208514019951e+00,1.635700696172932567e+01,-3.237821177273582651e-01,1.636021123353307161e+01,-1.979211962230987068e-02,1.635945781884570494e+01,-3.238949342262508191e-01,1.636266384348860470e+01,-1.979604868381352328e-02,-4.284272324888083815e-19,-4.094433743401082945e-19,5.926160395475585631e-19,-2.378847881454166480e+00,8.317278090670176027e+01,4.872454527884178788e+01,9.639394584922911235e+01,5.299301651695187410e-01
