# Frequency, Real(S11), Imag(S11), Amp(S11), Phase(S11), Real(E0), Imag(E0), Amp(E0), Phase(E0), Real(E1), Imag(E1), Amp(E1), Phase(E1), Real(E2), Imag(E2), Amp(E2), Phase(E2), Real(I0), Imag(I0), Amp(I0), Phase(I0), Real(I1), Imag(I1), Amp(I1), Phase(I1), Real(I2), Imag(I2), Amp(I2), Phase(I2), Real(S21), Imag(S21), Amp(S21), Phase(S21), Real(ZL1), Imag(ZL1), Amp(ZL1), Phase(ZL1), Real(ZL2), Imag(ZL2), Amp(ZL2), Phase(ZL2), Real(J4avg), Imag(J4avg), Amp(J4avg), Phase(J4avg), Real(Icavg), Imag(Icavg), Amp(Icavg), Phase(Icavg) 
2.000000000000000000e+09,-7.188979419706689189e-01,-3.142687098621044402e-03,7.189048111202644975e-01,-3.137221147015451184e+00,-1.215675622755869822e+00,-6.138849953396499970e+00,6.258062477323080408e+00,-1.766296809596261452e+00,-9.306898217134721207e+00,-1.703628337478746602e+01,1.941270989970656657e+01,-2.070793351830269025e+00,-7.156003925350593597e-01,-2.857236983340453840e+00,2.945485885344689247e+00,-1.816200249581474857e+00,-1.145024226781431353e-06,-1.146418583903334922e-06,1.620295050117521812e-06,-2.355585984082874784e+00,1.305976013102379802e-06,1.795763897137658771e-06,2.220437191424656869e-06,9.420124581919614437e-01,-1.657796988452994240e-07,-6.445635499245575905e-07,6.655411921440969790e-07,-1.822536919014871915e+00,5.700981571285167161e-05,5.756001736065342639e-05,8.101404005585718449e-05,7.902004521278770399e-01,1.635473747266439659e+01,-2.116819748883198293e-01,1.635610733207218814e+01,-1.294243675444347458e-02,1.635172716363472389e+01,-2.137783851914888122e-01,1.635312454645670499e+01,-1.307300473066155301e-02,2.195753423930633995e-19,-7.682853339623187867e-20,2.326283614068734887e-19,-3.365821635906359188e-01,-2.825325213310903472e+00,-1.570079065194000867e+00,3.232276416386873574e+00,-2.634371380983938860e+00
2.106666666666666746e+09,-7.187025445069785690e-01,-3.335075060481127764e-03,7.187102825245125226e-01,-3.136952276082068725e+00,-1.388875362064655894e+00,-6.462803784122016282e+00,6.610356081438585107e+00,-1.782479687926001199e+00,-1.264767810531889758e+01,-1.765842158404927176e+01,2.172058043183423237e+01,-2.192339053988355158e+00,-8.147842311003760107e-01,-3.162579902907485252e+00,3.265851341614334657e+00,-1.822945775058185447e+00,-1.610875639958197067e-06,-1.187730667828001433e-06,2.001405622733653220e-06,-2.506256322133460834e+00,1.816979903888319425e-06,1.845387802102421692e-06,2.589762944997555793e-06,7.931547107408970509e-01,-2.113823686582305388e-07,-6.505644448959890666e-07,6.840442988157934223e-07,-1.884957214465986297e+00,8.027987676151107101e-05,5.974116786031882125e-05,1.000693047350594727e-04,6.397537794071012085e-01,1.636983540165829254e+01,-2.245605488286040452e-01,1.637137558415527039e+01,-1.371708748547688025e-02,1.636298811147920773e+01,-2.270473320972083431e-01,1.636456325196069272e+01,-1.387477401957721949e-02,-1.634159007582114561e-19,-4.416910570587821530e-20,1.692798467611388709e-19,-2.877613840208005147e+00,1.168583392343432514e+01,-1.088739056855723852e+01,1.597166202617616015e+01,-7.500416453019019825e-01
2.213333333333333492e+09,-7.187206803879623296e-01,-3.498745027416982466e-03,7.187291963139541551e-01,-3.136724674295475079e+00,-1.023029821118369931e+00,-6.833385299341603769e+00,6.909540119585052764e+00,-1.719403174491639152e+00,-4.542096184705143536e+00,-1.840053953987872504e+01,1.895284920822601293e+01,-1.812804149390812025e+00,-6.133637230914764649e-01,-3.381924939050393597e+00,3.437096354508503815e+00,-1.750211371136094263e+00,-4.697689707467793714e-07,-1.222247402967778687e-06,1.309416511251468814e-06,-1.937737658099121019e+00,5.667069712010534287e-07,1.903633984935567484e-06,1.986197155322084372e-06,1.281453305637165085e+00,-1.026206259989359375e-07,-6.792326895660443667e-07,6.869410742236453521e-07,-1.720745437922972743e+00,2.320431726010951061e-05,6.122006476847510195e-05,6.547012043492896516e-05,1.208496108408470882e+00,1.636640885420205649e+01,-2.361269076839504488e-01,1.636811212997503517e+01,-1.442653231193333219e-02,1.636386966431359724e+01,-2.376344826534749766e-01,1.636559502547917688e+01,-1.452087954003965231e-02,6.753858026986821047e-19,1.567481642201962725e-19,6.933368369510917135e-19,2.280494854224946188e-01,6.251779307905118266e+00,2.667443970092575611e+00,6.797058323152291415e+00,4.032839353488849587e-01
2.320000000000000000e+09,-7.187217478984345709e-01,-3.671986416019981832e-03,7.187311280210565423e-01,-3.136483646553302140e+00,-1.165196332845034988e+00,-7.176297599481078926e+00,7.270277142612474819e+00,-1.731758978910912461e+00,-4.971975585481492210e+00,-1.933196072029968349e+01,1.996109331960135691e+01,-1.822529964308649220e+00,-8.048564889333723604e-01,-3.550138402361075141e+00,3.640230300914627737e+00,-1.793739010023576386e+00,-5.206731422517647994e-07,-1.284500701898106118e-06,1.386016801571703202e-06,-1.955906770923483862e+00,6.120564236228874201e-07,2.000620249543380563e-06,2.092150675401047194e-06,1.273905034622388799e+00,-9.764431496169615291e-08,-7.136170278565652134e-07,7.202663914769150862e-07,-1.706781995547602682e+00,2.572060543305698454e-05,6.435016108434214624e-05,6.930002002469973004e-05,1.190550659978970582e+00,1.636704971937678366e+01,-2.478584610703722102e-01,1.636892636470931706e+01,-1.514258956534307587e-02,1.636298668430479353e+01,-2.493604049953601909e-01,1.636488661257130062e+01,-1.523811691561071519e-02,-1.605305301698013464e-18,-7.027825917321092147e-19,1.752400776906199312e-18,-2.728940927581691156e+00,4.508682058693814554e+00,4.246848410542614083e+00,6.193862714697171867e+00,7.555021293626819068e-01
2.426666666666666508e+09,-7.187375518859381307e-01,-3.842016832431206178e-03,7.187478205771008488e-01,-3.136247197201055048e+00,-1.142477072400686966e+00,-7.532268658313059362e+00,7.618420111937019179e+00,-1.721326636877186678e+00,-4.235175588486309373e+00,-2.024651071586407625e+01,2.068472645293887524e+01,-1.777003522016360693e+00,-8.719790413121810690e-01,-3.754408580663652018e+00,3.854339273993477644e+00,-1.799005076963072769e+00,-4.267516537586880401e-07,-1.345925867344572181e-06,1.411960840240625783e-06,-1.877838461436118989e+00,4.954100803716072104e-07,2.092071008458256811e-06,2.149928429544888302e-06,1.338275784668880197e+00,-7.551802262926907683e-08,-7.440085269982067321e-07,7.478313044984651374e-07,-1.671951445592390062e+00,2.099460288711746283e-05,6.740312407300117284e-05,7.059712802365370539e-05,1.268842633370042883e+00,1.636617556143320940e+01,-2.595694808060128866e-01,1.636823383334376558e+01,-1.585878868218906432e-02,1.636162039273876445e+01,-2.606632718173954033e-01,1.636369662445987672e+01,-1.593003724703768303e-02,-7.100283780545634023e-19,-4.132707576722875194e-19,8.215430705628406056e-19,-2.614477578220149034e+00,8.544819241559018508e+00,-5.995353030230979208e+00,1.043830416437540975e+01,-6.118231258474110534e-01
2.533333333333333492e+09,-7.187744035542955601e-01,-4.012761391778548077e-03,7.187856046546986510e-01,-3.136009928768880517e+00,-7.166823052589007537e-01,-7.915425557100612686e+00,7.947804431204429143e+00,-1.661092601737455876e+00,-2.208919776523038170e+00,-2.118528107791233950e+01,2.130012819044207717e+01,-1.674687645861779872e+00,-5.561618915280071018e-01,-3.984606151568772514e+00,4.023232808663664173e+00,-1.709477995658171157e+00,-2.022980539039502357e-07,-1.406962791318683924e-06,1.421431953618810541e-06,-1.713601106936706309e+00,2.355657270177584913e-07,2.182594111970268189e-06,2.195269520890929102e-06,1.463283259613910703e+00,-4.074717456307688779e-08,-7.745964145819751385e-07,7.756674143717299376e-07,-1.623352277974865698e+00,9.740927622730046498e-06,7.039988486941506059e-05,7.107059490800791545e-05,1.433303651269087098e+00,1.636235069918167895e+01,-2.714707750158145694e-01,1.636460255504846728e+01,-1.658966215196284316e-02,1.636034933793501267e+01,-2.718585754952447253e-01,1.636260790779822116e+01,-1.661538833830455628e-02,2.093731995557127371e-20,2.394944869121683942e-20,3.181112163277477292e-20,8.524027553977699956e-01,-2.457933545718977797e+01,6.247840855378318992e+01,6.713937195811794822e+01,1.945604699594427833e+00
2.640000000000000477e+09,-7.187704551144242782e-01,-4.191284509102437272e-03,7.187826750911799900e-01,-3.135761533271472778e+00,-7.455453006309831210e-01,-8.290042762969134671e+00,8.323499673043176728e+00,-1.660487666169057297e+00,-1.216930313426193733e+00,-2.210409485318722744e+01,2.213756826452340221e+01,-1.625795323467575049e+00,-5.497148276507412001e-01,-4.177801325818445655e+00,4.213811850302460194e+00,-1.701624693870545713e+00,-4.327965128070524206e-08,-1.461796476204372164e-06,1.462437029775470026e-06,-1.600394846523581549e+00,7.070881552630405941e-08,2.271732990993397085e-06,2.272833148068933700e-06,1.539680876643090057e+00,-3.552249047664332248e-08,-8.097417297351194821e-07,8.105205217661590009e-07,-1.614637131818486226e+00,1.759316252478791637e-06,7.309956306291511300e-05,7.312073107994298063e-05,1.546733574457953342e+00,1.636267963153853344e+01,-2.835423927165848790e-01,1.636513614403599703e+01,-1.732686964859245921e-02,1.636043967290651935e+01,-2.839613704327558774e-01,1.636290378724728711e+01,-1.735484294478666090e-02,1.310951590360649189e-19,8.188105680184863307e-20,1.545653524748632649e-19,5.583062481685848732e-01,1.490196593314933926e+00,-4.663621445326648352e-01,1.561467110310217343e+00,-3.032979099573166470e-01
2.746666666666666985e+09,-7.187520980512909219e-01,-4.372402899467537837e-03,7.187653973030753152e-01,-3.135509403222613400e+00,-6.542586863007355813e-01,-8.668648105989330332e+00,8.693302848404186989e+00,-1.646127637138341315e+00,-1.059555242992100021e+00,-2.310235707696126539e+01,2.312664177576100855e+01,-1.616627722455107774e+00,-4.530466799140332457e-01,-4.356331092579140751e+00,4.379825553872310984e+00,-1.674421117584742769e+00,-3.264776154359197888e-08,-1.525003261101836529e-06,1.525352687972536803e-06,-1.592201379544981643e+00,5.944677784529370532e-08,2.373747196513428521e-06,2.374491455522961013e-06,1.545758127785217484e+00,-3.558305390107731742e-08,-8.486064929628745034e-07,8.493521846817586611e-07,-1.612702937060421338e+00,1.193186197210582212e-06,7.625703517752774579e-05,7.626636943875011792e-05,1.555150703612619090e+00,1.636513780430710341e+01,-2.957627199916932348e-01,1.636781020602629155e+01,-1.807076291145988736e-02,1.636034541368753281e+01,-2.962768739867989720e-01,1.636302789954310555e+01,-1.810747173414649705e-02,4.251965546852259030e-19,3.367652457138137579e-19,5.424047758241732141e-19,6.698576592735233648e-01,-6.067554261110532110e+01,1.991672331737969159e+01,6.386076525420841676e+01,2.824424404957806445e+00
2.853333333333333015e+09,-7.187600600954874297e-01,-4.551412213458066666e-03,7.187744704297763798e-01,-3.135260427255604387e+00,-6.363284238250858094e-01,-9.055907482293129362e+00,9.078236292960236042e+00,-1.640947688920794345e+00,-1.033590520781704880e+00,-2.410827394968049475e+01,2.413042026566244758e+01,-1.613642942269648994e+00,-4.224717415690679156e-01,-4.555436374606586014e+00,4.574984473800233431e+00,-1.663271938451319931e+00,-2.967139356626261273e-08,-1.589924201171885462e-06,1.590201042971681052e-06,-1.589456304205493220e+00,5.759723442720852282e-08,2.475547219168508873e-06,2.476217170554028930e-06,1.547534058012916880e+00,-3.743933739036360424e-08,-8.855024105403696339e-07,8.862935309800218027e-07,-1.613051493644167333e+00,1.007894851838736870e-06,7.950224043140780049e-05,7.950862900117028006e-05,1.558119440520167487e+00,1.636418227985759088e+01,-3.079408848475401750e-01,1.636707943638588958e+01,-1.881576105217271089e-02,1.636009683442809504e+01,-3.083312550556301379e-01,1.636300206547405978e+01,-1.884431127392655753e-02,-2.229098075357827848e-19,-1.737628998308426553e-19,2.826346186390888356e-19,-2.479464174157192780e+00,3.664871356860425866e+00,8.400074080886222205e+00,9.164743674905070137e+00,1.159401639227340741e+00
2.960000000000000000e+09,-7.187970905115187437e-01,-4.729782355414552907e-03,7.188126516478087202e-01,-3.135012612913560037e+00,-4.275247384710789689e-01,-9.462340342334623955e+00,9.471993568208231906e+00,-1.615947332182434026e+00,-6.192931038686553258e-01,-2.513378184812633620e+01,2.514141034106289396e+01,-1.595431211595792043e+00,-2.915061574557589186e-01,-4.783741234186760671e+00,4.792614738897055915e+00,-1.631657926180593465e+00,-1.057756299791257348e-08,-1.656517059887719419e-06,1.656550830653267054e-06,-1.577181663532843503e+00,2.291274057354046565e-08,2.577262448947235274e-06,2.577364297966837779e-06,1.561906220569474035e+00,-2.261691169542492022e-08,-9.207435533488033460e-07,9.210212895085647112e-07,-1.595355135176240058e+00,1.479144391226298976e-08,8.282594477992236723e-05,8.282594610068490411e-05,1.570617742128047167e+00,1.636142866679168861e+01,-3.201437444190126658e-01,1.636456049014465464e+01,-1.956448320386510939e-02,1.635770612839046478e+01,-3.202522656408797741e-01,1.636084078818784349e+01,-1.957556609071474385e-02,7.377715492504886345e-19,6.519167657093868346e-19,9.845315273247747997e-19,7.236966989672107831e-01,1.095807192428997157e+00,-1.169678280550617178e+00,1.602791528231594320e+00,-8.179937924962576989e-01
