# Frequency, Real(S11), Imag(S11), Amp(S11), Phase(S11), Real(E0), Imag(E0), Amp(E0), Phase(E0), Real(E1), Imag(E1), Amp(E1), Phase(E1), Real(E2), Imag(E2), Amp(E2), Phase(E2), Real(I0), Imag(I0), Amp(I0), Phase(I0), Real(I1), Imag(I1), Amp(I1), Phase(I1), Real(I2), Imag(I2), Amp(I2), Phase(I2), Real(S21), Imag(S21), Amp(S21), Phase(S21), Real(ZL1), Imag(ZL1), Amp(ZL1), Phase(ZL1), Real(ZL2), Imag(ZL2), Amp(ZL2), Phase(ZL2), Real(J4avg), Imag(J4avg), Amp(J4avg), Phase(J4avg), Real(Icavg), Imag(Icavg), Amp(Icavg), Phase(Icavg) 
2.000000000000000000e+09,-7.197354230797368135e-01,-3.217364345312936566e-03,7.197426141816936074e-01,-3.137122479117578244e+00,2.754441625733394239e-01,-5.564090011340053765e-01,6.208546232723646252e-01,-1.111125377985591856e+00,4.031486408998512516e-01,-7.171482870148011557e-01,8.226970841249292565e-01,-1.058668827983167748e+00,1.520360370978229500e-02,-4.941161736250828107e-01,4.943500203334243448e-01,-1.540036741812889298e+00,-2.000306943455195901e-08,-1.483517466996759611e-08,2.490391925565040535e-08,-2.503460280764360668e+00,-2.342858012651234735e-08,2.656654430517873388e-08,3.542145738198012204e-08,2.293511313357173620e+00,4.336908295829048907e-08,-1.164774302340149236e-08,4.490598261014093948e-08,-2.623808508024894626e-01,9.970251415888805764e-07,7.459400640889060489e-07,1.245185011222544675e-06,6.423261556693382612e-01,1.629323416743097042e+01,-2.192334768740406281e-01,1.629470904778978380e+01,-1.345467973388891902e-02,1.629987074712825645e+01,-2.159116042782339984e-01,1.630130069025013384e+01,-1.324544107412341243e-02,5.177421184680925481e-19,3.192221473441603203e-19,6.082431097767119000e-19,5.525113593129387102e-01,1.440882945592280606e+01,-1.008253409363077280e+00,1.444406249042702584e+01,-6.986081741635637166e-02
2.106666666666666746e+09,-7.197808956407475423e-01,-3.391027018040700027e-03,7.197888834885085574e-01,-3.136881495026714539e+00,3.040191868487182036e-01,-5.680007322303354256e-01,6.442456812322089332e-01,-1.079352359893511970e+00,5.573732296762268223e-01,-7.114896990533393639e-01,9.038155282018113246e-01,-9.062664079472397827e-01,3.543815614101457068e-01,-4.567370284887592446e-01,5.780960164715153171e-01,-9.109251783781817657e-01,4.581664148192510020e-08,-4.903632682606403405e-09,4.607830563474730540e-08,-1.066214525695606818e-01,-4.042084987910182304e-08,2.421855628373529901e-08,4.712094622794983892e-08,2.601791031640428464e+00,-5.416558770900666779e-09,-1.951740928895973462e-08,2.025508267747610679e-08,-1.841508004115975039e+00,-2.291870432500151276e-06,2.350573497388684881e-07,2.303892800682073927e-06,3.039388648963119888e+00,1.629002735405352098e+01,-2.311401310399216202e-01,1.629166710180358280e+01,-1.418810515944927443e-02,1.629683737632112184e+01,-2.274681007575896918e-01,1.629842477686476698e+01,-1.395690006754662232e-02,-4.525086822129190085e-19,-2.199994271286675012e-19,5.031539082775908936e-19,-2.689064267417976772e+00,3.332187196671931861e-01,-2.793099601596293335e-01,4.347973884247894327e-01,-6.976141690791604066e-01
2.213333333333333492e+09,-7.198587358300528871e-01,-3.576302836122965522e-03,7.198676194223613267e-01,-3.136624632455162764e+00,-7.866458920778791608e-01,-4.371098336477286517e-01,8.999315341705430571e-01,-2.634412226610693963e+00,1.924447993268640467e+00,-1.077217880307036912e+00,2.205424775513525226e+00,-5.103011961550276698e-01,1.704483751152809368e-01,-4.744522535063062652e-01,5.041404461423937278e-01,-1.225902237541416140e+00,5.534139848140238382e-07,-1.027235105990995445e-07,5.628669098619494830e-07,-1.835290980218198253e-01,-4.278835271591547114e-07,1.015596556312425260e-07,4.397711637500754251e-07,2.908551528875558123e+00,-1.259952811963340823e-07,-1.406777699332069302e-09,1.260031345135454911e-07,-3.130427797001596790e+00,-2.769394041777386672e-05,5.007643896596022480e-06,2.814304235967256425e-05,2.962704668493130189e+00,1.628637038186690944e+01,-2.423611932483117348e-01,1.628817359814612331e+01,-1.488012979998411950e-02,1.628986547971560839e+01,-2.412614549453595270e-01,1.629165198612076182e+01,-1.480944193195792707e-02,1.335453508358305535e-18,7.865393547851205163e-19,1.549864584282220676e-18,5.322682274907574174e-01,5.313654630836553316e+00,-9.940114105820326174e+00,1.127123746411808014e+01,-1.079879209042690746e+00
2.320000000000000000e+09,-7.199503482344762340e-01,-3.725152731416449779e-03,7.199599854754540340e-01,-3.136418519710075348e+00,1.404953272906785289e+00,-2.470418368281314114e-01,1.426507402082058951e+00,-1.740570360835651809e-01,2.650011107312624792e-01,-1.491453391865843914e+00,1.514813126691518130e+00,-1.394951698278990904e+00,-2.346247084297336638e+00,-2.465618783604392461e-01,2.359166831835845635e+00,-3.036889182004943510e+00,-7.382492854138591699e-07,-1.870101359405856899e-07,7.615673301544584816e-07,-2.893495772653711384e+00,1.438259253028462272e-07,2.018030970835555436e-07,2.478111918008039794e-07,9.515948089656016684e-01,5.934961395630944644e-07,-1.120602539592167636e-08,5.936019227407118948e-07,-1.887913544889022882e-02,3.686610324329459227e-05,9.529853584383042901e-06,3.807791587895842996e-05,2.529616582887077580e-01,1.627961347390562352e+01,-2.524831105889402960e-01,1.628157125651274839e+01,-1.550791548726047388e-02,1.628414922461473324e+01,-2.512145173167405487e-01,1.628608684439670284e+01,-1.542571170415420363e-02,1.196368063388725993e-19,-7.948518418211420327e-20,1.436344663910077123e-19,-5.864229746620774897e-01,-4.071301814217584081e+00,1.544023891451366426e+00,4.354251742816900084e+00,2.779104891634240460e+00
2.426666666666666508e+09,-7.200248638967682302e-01,-3.876460981753049491e-03,7.200352988425655631e-01,-3.136208917939149021e+00,2.487909839806426326e+00,-5.380079198611372737e-01,2.545417037115714987e+00,-2.129696324642566529e-01,5.701606042274216524e-01,-1.621200686324519413e+00,1.718538559343976813e+00,-1.232616439956297327e+00,-2.218256359118971677e+00,-3.224593452307552011e-01,2.241571168644529877e+00,-2.997237658602716515e+00,-9.997357916046742248e-07,-1.299278149790966705e-07,1.008143288486645034e-06,-3.012354868651061945e+00,2.594349681169038972e-07,1.785827020206649662e-07,3.149575910226971534e-07,6.028659837489883655e-01,7.396138184565606280e-07,-4.357124233785129812e-08,7.408961152622936645e-07,-5.884279273623063689e-02,4.995243932867208001e-05,6.750572984144792284e-06,5.040651178666235720e-05,1.343262261202966268e-01,1.627679694560701407e+01,-2.632396214976961968e-01,1.627892545307730288e+01,-1.617128206166944596e-02,1.627679945973142495e+01,-2.608719575612744035e-01,1.627888985252234733e+01,-1.602585476020878044e-02,4.207088144154172902e-19,-1.303691070156725089e-19,4.404452413080312975e-19,-3.004958827907964203e-01,-3.063625148864215220e+00,-3.290435358208225747e+00,4.495860751769362729e+00,-2.320514321242022948e+00
2.533333333333333492e+09,-7.201161676757243946e-01,-4.037475265404597176e-03,7.201274860429164315e-01,-3.135986012409788692e+00,3.575831436733993396e+00,-6.891074410771578229e-01,3.641625945821866495e+00,-1.903786363229611756e-01,-1.765918960763083634e+00,-1.194466515285030672e+00,2.131952164594631327e+00,-2.546882240623902227e+00,-2.368022073188509324e+00,-3.496212891366008435e-01,2.393692458300678449e+00,-2.995008879104496646e+00,-1.703365022460485472e-06,-2.325136850302432540e-08,1.703523708634274895e-06,-3.127943245377601489e+00,7.995997039669010476e-07,8.866312529562619299e-08,8.045003644319520030e-07,1.104332592331923463e-01,9.035937387776442866e-07,-5.636413010345562090e-08,9.053499654390455747e-07,-6.229701905733221745e-02,8.515967213722631761e-05,1.614949759605474150e-06,8.517498354121314874e-05,1.896151275189656565e-02,1.626912885132676578e+01,-2.736906402640382208e-01,1.627143079595771624e+01,-1.682111124134660213e-02,1.627202393591035090e+01,-2.721321869135331362e-01,1.627429933662256900e+01,-1.672237094621108200e-02,-3.215820827990758280e-19,-2.756889788556562086e-19,4.235793302793068696e-19,-2.432881787976691967e+00,-3.401183760463835082e-01,-8.245902532151989206e+00,8.252913975043906447e+00,-1.612019914989875735e+00
2.640000000000000477e+09,-7.187651910609699213e-01,-4.200881576992485968e-03,7.187774671530379189e-01,-3.135748138861761625e+00,2.516505356112626934e+00,-6.842635742568432544e-01,2.607875734462493433e+00,-2.654914222186144923e-01,-1.986882586770107206e+00,-8.557633681008282034e-01,2.163338474625167596e+00,-2.734898443005989943e+00,-2.633183136598269414e+00,-4.174651159259933908e-01,2.666070245488779911e+00,-2.984361174843668696e+00,-1.454588363211364838e-06,1.609570290229119129e-08,1.454677413738811081e-06,3.130527635875098635e+00,6.716641288623686503e-07,3.349711655878724094e-08,6.724988913137310714e-07,4.983054053188320370e-02,7.829687593800235824e-07,-4.154022786713562946e-08,7.840699386511045312e-07,-5.300507476509437599e-02,7.273164441211995743e-05,-4.021555654169303706e-07,7.273275622434403063e-05,-5.529250305615500231e-03,1.636137665385756534e+01,-2.840523303335907856e-01,1.636384220578294801e+01,-1.735940702338947469e-02,1.636244893117062915e+01,-2.847544589172988361e-01,1.636492652372873025e+01,-1.740116765269944174e-02,2.321764731396539033e-19,8.969491727381933911e-19,9.265115936432192340e-19,1.317504519333968727e+00,1.527559845039960251e+01,1.556489293102211668e+01,2.180848000141305221e+01,7.947782343048669373e-01
2.746666666666666985e+09,-7.187633680879162990e-01,-4.379058419443635983e-03,7.187767076482975970e-01,-3.135500239265673450e+00,2.594452796190648947e+00,-7.076040912288499296e-01,2.689217146603316344e+00,-2.662613967760005251e-01,-2.114763444996915265e+00,-9.092426294262536679e-01,2.301944088691380230e+00,-2.735536759270096319e+00,-2.796693116478390362e+00,-3.859360125944729658e-01,2.823196591379164566e+00,-3.004461481827394476e+00,-1.521971394972063683e-06,1.996675521879258476e-08,1.522102361349977277e-06,3.128474397937233586e+00,7.022968448420077344e-07,3.920859666756896735e-08,7.033904835350554719e-07,5.577119803874495269e-02,8.197390597349058836e-07,-5.040919634977820690e-08,8.212875337734635453e-07,-6.141685958465724349e-02,7.610179522884578148e-05,-5.600299841128896537e-07,7.610385581976959789e-05,-7.358826075230289615e-03,1.636286658593493470e+01,-2.961270087038421206e-01,1.636554594611465774e+01,-1.809552650018772524e-02,1.636108545880405885e+01,-2.968060678222692039e-01,1.636377741330484525e+01,-1.813898691887226577e-02,-2.223241368275325812e-18,-9.353184361399568998e-19,2.411974866907621483e-18,-2.743369472245460905e+00,4.698521409763331036e+01,-1.712554047064381635e+01,5.000894400216924396e+01,-3.495228556131571018e-01
2.853333333333333015e+09,-7.187816513215188330e-01,-4.556799819020796762e-03,7.187960953574248357e-01,-3.135253122293923056e+00,-8.240628162452588723e-02,-7.183593819053717411e-01,7.230705337812131095e-01,-1.685011631773666529e+00,-9.889871429551870541e-02,-9.071946858599225783e-01,9.125695336475956321e-01,-1.679383490436127113e+00,-7.969037125113780096e-02,-5.773643226731792755e-01,5.828379846629792027e-01,-1.707954134303787619e+00,-2.085339877569041126e-09,-7.207307838460853760e-09,7.502928007339462365e-09,-1.852441951479776305e+00,2.587399904533088256e-09,3.196008076850021675e-08,3.206464409587349732e-08,1.490015261882632114e+00,-5.452556259762231405e-10,-2.474055444645033711e-08,2.474656214538561438e-08,-1.592831700871692124e+00,1.021072139278231160e-07,3.609763161024952986e-07,3.751396858811805826e-07,1.295133793290826008e+00,1.635956906354056528e+01,-3.083176481442981842e-01,1.636247413189432010e+01,-1.884408761550329311e-02,1.636178240191031108e+01,-3.086686267610825318e-01,1.636469369369951110e+01,-1.886298258747615836e-02,-2.928910552045386869e-19,-3.751569449940762036e-19,4.759494758859562822e-19,-2.233667671597280524e+00,-6.084528173565873388e+00,-2.558280766997175881e+00,6.600476011448304980e+00,-2.743576488915862477e+00
2.960000000000000000e+09,-7.187901341236897501e-01,-4.735224401514208717e-03,7.188057312401484600e-01,-3.135004978442889723e+00,-3.014825697076570221e-02,-7.665740201698523215e-01,7.671666349612348279e-01,-1.610104634653107381e+00,-4.578629861793421379e-02,-9.602042648590831675e-01,9.612952800231066020e-01,-1.618444150566979989e+00,-1.843258976414783104e-02,-6.374608147579607920e-01,6.377272541747738277e-01,-1.599703915562161738e+00,-6.039501582695487643e-10,-9.722528127212322000e-09,9.741268345452175570e-09,-1.632835244882249626e+00,2.536754907939611905e-09,3.260667897955550555e-08,3.270520814088701741e-08,1.493154092640892827e+00,-1.993171787002726318e-09,-2.288077691987255586e-08,2.296742663489918030e-08,-1.657688174474325482e+00,2.717915604682859185e-08,4.862951029841425152e-07,4.870540357186003949e-07,1.514964160738321519e+00,1.635866260432073460e+01,-3.204990506898905411e-01,1.636180191309914278e+01,-1.958950192769587720e-02,1.636140980139493806e+01,-3.206390238470441245e-01,1.636455132512944743e+01,-1.959476534852467103e-02,1.376809895162904615e-19,1.435112242270718668e-19,1.988756555069970982e-19,8.061291764640171609e-01,1.790152348519667314e+00,5.882585421029286055e-01,1.884328406426953872e+00,3.174918230610181968e-01
3.066666666666666985e+09,-7.188132412077081757e-01,-4.914197756839600029e-03,7.188300390739971180e-01,-3.134756216923327621e+00,6.142794481522946548e-02,-8.088498913093370435e-01,8.111791041905290767e-01,-1.494997028376518156e+00,6.933128471195100506e-02,-1.069316930282832034e+00,1.071562188782950953e+00,-1.506049968956540086e+00,5.483355676852490895e-02,-6.216501650280344959e-01,6.240638161496543379e-01,-1.482817570525558848e+00,1.823987361043774807e-10,-1.104387888332667816e-08,1.104538501314107191e-08,-1.554282006391744186e+00,-1.496141730022899894e-09,4.398992054199216953e-08,4.401535583597047667e-08,1.604794234153151589e+00,1.242735798614302175e-09,-3.294767117490782622e-08,3.297109989240592113e-08,-1.533095727112535167e+00,-1.267029657040741395e-08,5.521124683541994178e-07,5.522578330158377401e-07,1.593741059520835446e+00,1.635610573737457329e+01,-3.326272677202212757e-01,1.635948763841363274e+01,-2.033377802921305239e-02,1.636070249250571251e+01,-3.327250876498351051e-01,1.636408543219675948e+01,-2.033404304556744174e-02,-1.023998219445307442e-19,-1.079735357632020637e-19,1.488086286459191716e-19,-2.329706296690960077e+00,-2.095557543133191203e+00,4.725129287598810457e+00,5.168965873470868111e+00,1.988225124426229007e+00
