# Frequency, Real(S11), Imag(S11), Amp(S11), Phase(S11), Real(E0), Imag(E0), Amp(E0), Phase(E0), Real(E1), Imag(E1), Amp(E1), Phase(E1), Real(E2), Imag(E2), Amp(E2), Phase(E2), Real(I0), Imag(I0), Amp(I0), Phase(I0), Real(I1), Imag(I1), Amp(I1), Phase(I1), Real(I2), Imag(I2), Amp(I2), Phase(I2), Real(S21), Imag(S21), Amp(S21), Phase(S21), Real(ZL1), Imag(ZL1), Amp(ZL1), Phase(ZL1), Real(ZL2), Imag(ZL2), Amp(ZL2), Phase(ZL2), Real(J4avg), Imag(J4avg), Amp(J4avg), Phase(J4avg), Real(Icavg), Imag(Icavg), Amp(Icavg), Phase(Icavg) 
2.000000000000000000e+09,-7.187443627882402764e-01,-3.173622006108822724e-03,7.187513693319208530e-01,-3.137177173558800991e+00,-1.371648923825788957e+00,-6.153306481834850850e+00,6.304331957441901224e+00,-1.790122969420525845e+00,-1.140191629165619780e+01,-1.675204602177257485e+01,2.026412448238318120e+01,-2.168402482796813580e+00,-9.019564981901040390e-01,-2.864312254852510620e+00,3.002966902569129015e+00,-1.875861274346199759e+00,-1.441471108851517033e-06,-1.099863681817040055e-06,1.813157212222304078e-06,-2.489814021242032993e+00,1.618305879119655762e-06,1.748333232815091028e-06,2.382348213708254140e-06,8.240012788527462106e-01,-1.814726578521982862e-07,-6.424437498210855436e-07,6.675824272942768903e-07,-1.846096254057544739e+00,7.184166106337728900e-05,5.529447414970181749e-05,9.065706335326124542e-05,6.559724149186961784e-01,1.636651444493494623e+01,-2.138775892160196257e-01,1.636791186130451692e+01,-1.306725487414985530e-02,1.636072900787644713e+01,-2.158472129800977635e-01,1.636215278282540453e+01,-1.319224168171394262e-02,3.179176292192995638e-19,1.294095392199871795e-19,3.432469195922221699e-19,3.865723024073617897e-01,2.288213707610048786e+01,2.096927954120792492e+01,3.103712102703428499e+01,7.418044601528926973e-01
2.106666666666666746e+09,-7.187284272755056769e-01,-3.342524468068180064e-03,7.187361996196807157e-01,-3.136942078707842807e+00,-1.503025611678394213e+00,-6.632586883410998446e+00,6.800756925178022883e+00,-1.793644826088123256e+00,-1.246923147016800293e+01,-1.765739970605445563e+01,2.161632479946579721e+01,-2.185655226318619526e+00,-8.728564043390969474e-01,-3.264545355015978867e+00,3.379221016381169118e+00,-1.832059505815690326e+00,-1.558321505690103312e-06,-1.151944084615327689e-06,1.937870245701841828e-06,-2.505025829195628884e+00,1.770475911382011223e-06,1.818487871957119470e-06,2.538007701572061037e-06,7.987750319522681774e-01,-2.172734015405270226e-07,-6.596825516694073102e-07,6.945421513443596482e-07,-1.888967116093094978e+00,7.766012549207285424e-05,5.794026601439158973e-05,9.689256688344553327e-05,6.409842723730004854e-01,1.636701525467373841e+01,-2.255821177074597839e-01,1.636856974932605979e+01,-1.378185525558170248e-02,1.636229896468747569e+01,-2.270214963030704192e-01,1.636387381305528521e+01,-1.387377964267532716e-02,3.152924617325022425e-19,1.509403763102390142e-19,3.495602002889029630e-19,4.464883528958727976e-01,1.578361003051922928e+01,-3.003573593646454043e+01,3.393033714598978889e+01,-1.086961855568095547e+00
2.213333333333333492e+09,-7.187193398059145144e-01,-3.519193777920752008e-03,7.187279555825668576e-01,-3.136696214244688363e+00,-1.059422676460192614e+00,-6.926933163809038341e+00,7.007480250651839881e+00,-1.722562803762273553e+00,-5.277102610875449962e+00,-1.860673542219186416e+01,1.934058983167674484e+01,-1.847151741535713709e+00,-6.361572062413159978e-01,-3.430376152661645861e+00,3.488864649109000737e+00,-1.754161461020601331e+00,-5.729642372440643190e-07,-1.232303544539956169e-06,1.358992289546343358e-06,-2.006016026906592753e+00,6.794410333193649746e-07,1.922606066888196848e-06,2.039130747694563131e-06,1.231099447365151978e+00,-1.122083154350153818e-07,-6.876699125829618642e-07,6.967643896789088051e-07,-1.732542647129645896e+00,2.836163589422451247e-05,6.174680771526038631e-05,6.794888265175450892e-05,1.140217739575263733e+00,1.636686936489704536e+01,-2.375015723463803075e-01,1.636859248086017971e+01,-1.451009956276444642e-02,1.636357950361856339e+01,-2.390294082889904137e-01,1.636532521000644635e+01,-1.460636466166741372e-02,4.108740968622457817e-19,1.393531140581806185e-19,4.338626670619153684e-19,3.269876596663808255e-01,-1.058406989245635477e-01,-1.200140696015609620e+01,1.200187365692674035e+01,-1.579615122414210537e+00
2.320000000000000000e+09,-7.187434299451535002e-01,-3.688561906323285008e-03,7.187528946573088495e-01,-3.136460739514104201e+00,-9.544887379747246658e-01,-7.274492031733038822e+00,7.336844217418552638e+00,-1.701261393661525734e+00,-3.610732075299813548e+00,-1.952193877016491541e+01,1.985304710782873627e+01,-1.753687151955783508e+00,-6.592048946718620517e-01,-3.603115032096759762e+00,3.662920832843780339e+00,-1.751749236061854953e+00,-3.571169759087181178e-07,-1.291773379072302263e-06,1.340227964699312628e-06,-1.840514567786531996e+00,4.257589087096698572e-07,2.015392177658915088e-06,2.059872879115212094e-06,1.362603758036387669e+00,-7.493447504479544700e-08,-7.219121025997311818e-07,7.257907821336696545e-07,-1.674225921124538052e+00,1.754122168324122552e-05,6.467400375295676474e-05,6.701060527691178625e-05,1.305942863129525566e+00,1.636494832158801671e+01,-2.492368038700209509e-01,1.636684613945673306e+01,-1.522873958807424363e-02,1.636214237358611001e+01,-2.502141159526670711e-01,1.636405543125921014e+01,-1.529106693493116099e-02,-3.467371729206921686e-19,-1.427687030100381017e-19,3.749794256278635606e-19,-2.750998992607562421e+00,-1.209052615292742949e+01,-8.588211583063406707e+00,1.483031357895329982e+01,-2.523970246522330818e+00
2.426666666666666508e+09,-7.187589739175086478e-01,-3.864277956347961923e-03,7.187693616390961049e-01,-3.136216385793294315e+00,-9.615774672958026237e-01,-7.646192138764134505e+00,7.706418457916067943e+00,-1.695898573202123893e+00,-3.702206178156969063e+00,-2.054461655791508434e+01,2.087552634300132581e+01,-1.749086106051388478e+00,-7.315938589863468788e-01,-3.811296073395993300e+00,3.880877134565103859e+00,-1.760443598037869872e+00,-3.798142663618687549e-07,-1.365231318984675980e-06,1.417079895866370257e-06,-1.842139811659111448e+00,4.380867450094780062e-07,2.122260909806235144e-06,2.167005160456381609e-06,1.367231019815270621e+00,-6.522909228227174197e-08,-7.551323104730129246e-07,7.579443520472197909e-07,-1.656963445274321822e+00,1.864288263635645090e-05,6.835642996666052270e-05,7.085307749688736002e-05,1.304541283150187247e+00,1.636397177635535272e+01,-2.612698730544315007e-01,1.636605738239727614e+01,-1.596480849424172788e-02,1.636090972870225357e+01,-2.619642809691122842e-01,1.636300682745221380e+01,-1.601022816306050395e-02,3.145542031522494898e-19,1.780372973669797463e-19,3.614438074922366304e-19,5.150433185809597525e-01,-1.554622467322136359e+01,9.310455301939278838e-01,1.557407934259906135e+01,3.081775249687151774e+00
2.533333333333333492e+09,-7.187977616410662351e-01,-4.041523293680716888e-03,7.188091235166261805e-01,-3.135970097537372325e+00,-4.701039930204768402e-01,-8.054512483835305048e+00,8.068219699321069527e+00,-1.629095482465104494e+00,-7.119666356654544837e-01,-2.141885741579918445e+01,2.143068709791257476e+01,-1.604024270564115007e+00,-3.722056194957716890e-01,-4.052874370669871773e+00,4.069929690746135975e+00,-1.662376879440455202e+00,-2.329399685472398860e-08,-1.410817683545552099e-06,1.411009973917373093e-06,-1.587305816805792080e+00,3.315622898691673516e-08,2.197969758813359314e-06,2.198219824353035600e-06,1.555712536747536845e+00,-1.735715956403789184e-08,-7.870681482472922465e-07,7.872595131045118519e-07,-1.592845683822118330e+00,7.899534711399439720e-07,7.054508052830365324e-05,7.054950328125218176e-05,1.559598941381478587e+00,1.636017175405871882e+01,-2.735274323570673349e-01,1.636245816124681696e+01,-1.671754762154077992e-02,1.635934732128603741e+01,-2.736814157325999641e-01,1.636163641864058960e+01,-1.672779987911159061e-02,-1.574323023852574677e-18,-1.028827169084624361e-18,1.880685600327443639e-18,-2.562757761490805031e+00,-1.262655049784002559e+00,-2.349508518292025006e+00,2.667299767981062164e+00,-2.063924029211209987e+00
2.640000000000000477e+09,-7.187692018076770051e-01,-4.225401045355937912e-03,7.187816215522203622e-01,-3.135714059513976526e+00,-4.483014737482024503e-01,-8.451490318437906879e+00,8.463371834795779591e+00,-1.623790734555067949e+00,-1.629296997338542274e+00,-2.256702038266762500e+01,2.262576004595806722e+01,-1.642869416115165127e+00,-3.409165492884577153e-01,-4.256545279787084191e+00,4.270175852638443459e+00,-1.650718036023168578e+00,-1.635336714222381535e-07,-1.494635338402451953e-06,1.503555139158603843e-06,-1.679776584907529902e+00,1.840065211248566508e-07,2.321661615766471995e-06,2.328942046925998128e-06,1.491705264649387797e+00,-2.875164559279409335e-08,-8.261668140637172353e-07,8.266669594126079170e-07,-1.605583546792911376e+00,7.762743776598744508e-06,7.477474008513782628e-05,7.517660504266630470e-05,1.467351836025197365e+00,1.636375131947506034e+01,-2.858973242921787339e-01,1.636624863936935270e+01,-1.746960303096478997e-02,1.635951545758200965e+01,-2.862265935352557578e-01,1.636201918070356953e+01,-1.749424632575015404e-02,2.727049715210013127e-19,2.052224232862333828e-19,3.412978823721941387e-19,6.451271252135233336e-01,9.250045060739542357e-01,8.139107700153903613e-01,1.232105546535752660e+00,7.215980675851580983e-01
2.746666666666666985e+09,-7.187590656955109569e-01,-4.411383558607220000e-03,7.187726030006882372e-01,-3.135455230940478621e+00,-7.224292548523022495e-01,-8.846710585295411988e+00,8.876158640326588412e+00,-1.652276308191116261e+00,-2.341579555307972793e+00,-2.351841151834182853e+01,2.363469219515900477e+01,-1.670032958830373504e+00,-5.029527603657496515e-01,-4.441552317108566683e+00,4.469938306595741651e+00,-1.683554063362421305e+00,-2.127876666136748595e-07,-1.546686558644828074e-06,1.561255232739180673e-06,-1.707514533028046122e+00,2.552233793412702694e-07,2.413851875679549868e-06,2.427307119233999760e-06,1.465454890170867275e+00,-5.135060630373079593e-08,-8.659911137110669025e-07,8.675122441754321746e-07,-1.630023895182014959e+00,1.019363865187663488e-05,7.739303809842607528e-05,7.806146690313641671e-05,1.439837550060201643e+00,1.636463448905212203e+01,-2.984309245613741002e-01,1.636735540571563163e+01,-1.823431185802771096e-02,1.635987831777135426e+01,-2.988819043503570527e-01,1.636260825678575515e+01,-1.826716881543470269e-02,3.150989095991848715e-19,2.465859667839100008e-19,4.001149357938926857e-19,6.640202222683778688e-01,-6.443118868448686420e+00,1.012055283799025851e+01,1.199747350484726738e+01,2.137720123955617613e+00
2.853333333333333015e+09,-7.187563386772862772e-01,-4.596590257876928369e-03,7.187710365831226911e-01,-3.135197541161004242e+00,-6.289007593790876260e-01,-9.263177390515608067e+00,9.284501684705924518e+00,-1.638584852454110674e+00,-2.191796564813955683e+00,-2.458747417213415432e+01,2.468497231813101322e+01,-1.659704134625712202e+00,-4.249608387900881135e-01,-4.657919645403337583e+00,4.677264920606863718e+00,-1.661778492574010002e+00,-2.067882139296208999e-07,-1.614822735375340388e-06,1.628009162168720607e-06,-1.698159454192614159e+00,2.452610195195710730e-07,2.521207915897891892e-06,2.533109220480232455e-06,1.473822282389016136e+00,-4.814160892174702627e-08,-9.052057836876538975e-07,9.064850386692292563e-07,-1.623929325006302271e+00,9.855970529895595342e-06,8.080010661051234143e-05,8.139900112013863397e-05,1.449416290438334087e+00,1.636520866382612738e+01,-3.109823091233839265e-01,1.636816314090122404e+01,-1.900036178255461172e-02,1.635954224405669066e+01,-3.114095960763949567e-01,1.636250587078897922e+01,-1.903305038044628139e-02,5.168313103158445869e-19,4.203043788387156784e-19,6.661609221455364896e-19,6.827580398427098851e-01,3.802739456759787195e+00,3.228914800216573955e+00,4.988658954373947019e+00,7.039726693409721348e-01
2.960000000000000000e+09,-7.187488035010702880e-01,-4.783983483166563515e-03,7.187647243933075192e-01,-3.134936763778527258e+00,-8.171917089615258201e-01,-9.691270928874502033e+00,9.725663705169099060e+00,-1.654919773201861455e+00,-1.391060583484627911e+00,-2.564860353483953403e+01,2.568629815357416746e+01,-1.624978577381719802e+00,-5.697394657799502715e-01,-4.893380211440677918e+00,4.926436130976066252e+00,-1.686705105454983977e+00,-5.135310272099871568e-08,-1.681282222274819407e-06,1.682066304310394495e-06,-1.601330844583940927e+00,8.546979090169886839e-08,2.624714459693521862e-06,2.626105687149897859e-06,1.538244366841408528e+00,-4.455370020033188158e-08,-9.431782791874353778e-07,9.442300029825957920e-07,-1.617999073342435201e+00,2.045804535067599584e-06,8.407680902530372598e-05,8.410169517954496513e-05,1.546468560953093707e+00,1.636730764485504608e+01,-3.236116407566951847e-01,1.637050652959045394e+01,-1.976925517255896311e-02,1.635832653058197295e+01,-3.241589795747379932e-01,1.636153800610385645e+01,-1.981355236760145785e-02,2.019400552232203004e-19,1.738020800297453535e-19,2.664337608604120981e-19,7.106512829217586091e-01,7.142998816155715636e-01,-3.475401732345844152e-01,7.943604300869627766e-01,-4.528270736105250993e-01
